Item No.,Description,Unit,Rate,
0525,Chromium plated Brass butt hinges (light/ordinary) type 125x70x4mm,10 Nos,805.00,
0526,Chromium plated Brass butt hinges (light/ordinary) type 100x70x4 mm,10 Nos,690.00,
0527,Chromium plated Brass butt hinges (light/ordinary) type 75x40x2.5 mm,10 Nos,421.00,
0528,Chromium plated Brass butt hinges (light/ordinary) type 50x40x2.5 mm,10 Nos,180.00,
0585,Chromium plated Brass screws 50 mm,100 Nos,300.00,
0586,Chromium plated Brass screws 40 mm,100 Nos,290.00,
0587,Chromium plated Brass screws 30 mm,100 Nos,240.00,
0588,Chromium plated Brass screws 25 mm,100 Nos,180.00,
0589,Chromium plated Brass screws 20 mm,100 Nos,160.00,
0595,Bright finished or black enameled mild steel butt hinges 100x58x 1.90 mm,10 Nos,80.00,
0597,Bright finished or black enameled mild steel butt hinges 50x37x 1.50 mm,10 Nos,49.00,
0608,Nickel plated bright finished mild steel piano hinges 1 mm thick 25 mm wide,metre,39.00,
No.,,,as on or,
,,,just before 01.04.2021,
0637,Bright finished or black enameled mild steel screws 40 mm,100 Nos,60.00,
0639,Bright finished or black enameled mild steel screws 25 mm,100 Nos,40.00,
0640,Bright finished or black enameled mild steel screws 20 mm,100 Nos,35.00,
0761,Fuel wood,quintal,500.00,
0771,Kerosene oil,litre,50.00,
0772,White cement based polymer modified self curing compound in powder form,kg,15.00,
0775,Dehradun white lime,quintal,600.00,
0811,Mud (dry),cum,165.00,
0826,Aluminium paint,litre,150.00,
0827,Acid proof paint (chocolate or black),litre,225.00,
0828,Anticorrosive bituminous paint (black),litre,100.00,
0829,Black Japan paint,litre,90.00,
0833,Synthetic enamel paint in black or chocolate shade,litre,175.00,
0845,Roofing paint for iron sheets in red colour,litre,120.00,
0851,Water proofing cement paint,kg,38.00,
0855,Wax polish (ready made),kg,230.00,
0856,Ordinary varnish,litre,100.00,
0857,Superior copal varnish,litre,115.00,
0858,Superior spar varnish,litre,115.00,
0859,Oil type wood preservative,litre,130.00,
0863,Putty for wood work,kg,28.00,
0982,Coarse sand (zone III),cum,1500.00,
0999,Shellac,kg,300.00,
1000,Spirit,litre,48.00,
1003,Mild steel round bar above 12 mm dia,quintal,4750.00,
1007,"Structural steel such as tees, angles channels and R.S. joists",quintal,4950.00,
1008,Flats up to 10 mm in thickness,quintal,4850.00,
1023,Galvanised steel J or L hooks 8 mm dia,10 Nos,120.00,
1034,Bolts and nuts up to 300 mm in length,quintal,5200.00,
1174,Red sand stone slab 45 mm to 50 mm thick (un-dressed),sqm,260.00,
1186,"Superior class teak wood such as Dandeli, Balarshah or Malabar in planks",10 cudm,1100.00,
1188,First class teak wood in planks,10 cudm,850.00,
1189,Second class teak wood in scantling,10 cudm,776.00,
1190,Second class teak wood in planks,10 cudm,791.00,
1194,Second class deodar wood in planks,10 cudm,500.00,
1196,First class kail wood in planks,10 cudm,300.00,
No.,,,as on or,
,,,just before 01.04.2021,
1199,Sal wood in scantling,10 cudm,600.00,
1208,Bitumen washer,100 Nos,30.00,
1209,G.I. plain washer thick,100 Nos,35.00,
1213,Water proofing materials,kilogram,35.00,
1215,Welding by electric plant,cm,2.00,
1241,Commercial LPG in cylinder,kg,84.00,
1301,Bleaching powder,quintal,1800.00,
1314,C.P.brass chain with 32 mm dia rubber plug,each,40.00,
1315,C.P.brass chain with 40 mm dia rubber plug,each,40.00,
1880,Dismenteled P or S trap scrap (approx wt 2kg),kg,25.00,
1890,Centrifugally SCI(spun) S & S P or S trap,each,325.00,
1953,Vitreous china Indian type W.C. pan of size 580 mm,each,475.00,
1954,Vitreous china orrisa type W.C. pan of size 580 mm,each,1290.00,
1970,Vitreous china foot rests 250x125x25 mm,pair,103.00,
2200,Carriage of Steam coal,tonne,187.35,
2201,Carriage of Bricks,1000 Nos,437.15,
2202,Carriage of Stone aggregate below 40 mm nominal size,cum,163.93,
2203,Carriage of Coarse sand,cum,163.93,
2204,Carriage of Timber,cum,187.35,
2205,Carriage of Steel,tonne,145.72,
2209,Carriage of Cement,tonne,145.72,
2211,Carriage of Tar / Bitumen,tonne,163.93,
2216,Carriage of Stone blocks white & red sand stone & kota stone slab,tonne,145.72,
2264,Carriage of Rubbish,cum,163.93,
2406,Float glass panes of nominal thickness 4 mm (weight not less than 10 kg/sqm),sqm,309.00,
2407,Float glass panes of nominal thickness 5 mm (weight not less than 12.50 kg/sqm),sqm,515.00,
2466,Hollock wood in scantling,10 cudm,357.00,
2467,"Chromium plated Brass pull bolt lock (locking bolt) of size 85 mm x 42 mm with screws, bolts, nuts and washers complete",each,172.00,
2602,Common burnt clay F.P.S. (non modular) bricks class designation 7.5,1000 Nos,4590.00,
4009,Mild steel tubes hot finished welded type,kg,60.00,
4202,Red oxide Zinc chromate primer,litre,120.00,
4203,Copper acetate,kg,300.00,
7019,Dash fastener / Chemical fastener,each,12.50,
7241,Melamine polish,litre,300.00,
7346,Double coupler,each,46.00,
,,,01-04-2021,
,,,dks ;k mlls Bhd igys,
0006,oS,qr izHkkj lfgr Qqgkfj= dk fdjk;k izHkkj,fnu,250-00
0011,4000 yhVj {kerk@ ?kaVs dh nj ls iEi lsV dk fdjk;k izHkkj,fnu,700-00,
0058,Okk;q laihMd,?kaVk,200-00,
0085,",YVªkok;ysV jsfM;s”ku Vq;wc dks mi;ksx ykxr",?kaVk,190-00,
0086,"dEizSlj] xu] jcj ikbZi vkSj vU; ,lsljht & la;= e”kkhujh dk HkkM+k bZ/ku lfgrA",fnu,4000-00,
0087,"laD”ku tsfVx e”khu 2200 ih-,l-vkbZ- bZ/ku ,o pkyd lfgr HkkM+k",fnu,40000-00,
0100,ca/kkuh,fnu,714-00,
0101,fHk”rh,fnu,714-00,
0102,Ykksgkj igyh Js.kh dk,fnu,784-00,
0103,Ykksgkj nwljh Js.kh dk,fnu,714-00,
0111,c<+bZ igyh Js.kh dk,fnu,784-00,
0112,c<+bZ nwljh Js.kh dk,fnu,714-00,
0114,csynkj,fnu,645-00,
0115,dqyh,fnu,645-00,
0116,fQVj ¼XkzsM&1½,fnu,784-00,
0117,lgk;d fQVj ;k nwljh Js.kh dk fQVj,fnu,714-00,
0119,“kh”kxj,fnu,714-00,
0123,jkt ¼bZaV jn~nk½ igyh Js.kh dk,fnu,784-00,
0124,jkt ¼bZaV jn~nk½ nwljh Js.kh dk,fnu,714-00,
0126,"jkt ¼ltkoVh iRFkj ds dke ds fy,½ igyh Js.kh dk",fnu,784-00,
0128,esV,fnu,714-00,
0129,lhoj esu,fnu,645-00,
0130,feL=h,fnu,784-00,
0131,jaxlkt,fnu,714-00,
0138,"Qqgfj;k ¼fcVqesau rkjdksy vkfn ds fy,½",fnu,714-00,
0139,"dq""ky csynkj ¼Q""kZ&f?klkbZ vkfn ds fy,½@f?klkbZ okyk",fnu,714-00,
0141,iqrS;k,fnu,714-00,
0155,jkt ¼vkSlr½,fnu,749-00,
0156,c<+bZ ¼vkSlr½,fnu,749-00,
0159,"dq""ky VkWpZ vkizsVj",fnu,784-00,
0160,"rduh""k;u",fnu,853-00,
0164,lqj{kk xkMZ ¼fon vkmV vkeZ~l½,fnu,784-00,
0165,lqj{kk xkMZ ¼fon vkeZ~l½,fnu,853-00,
0295,"iRFkj dk feykok ¼,d ukiokyk½ 20 feeh ukeh; uki dk",?ku eh-,1400-00,
,,,01-04-2021,
,,,dks ;k mlls Bhd igys,
0637,"pednkj ;k dkyk ,ukesy;qDr uje bLikr ds isap 40 feeh-",lkS ux,60-00,
0639,"pednkj ;k dkyk ,ukesy;qDr uje bLikr ds isap 25 feeh-",lkS ux,40-00,
0640,"pednkj ;k dkyk ,ukesy;qDr uje bLikr ds isap 20 feeh-",lkS ux,35-00,
0761,tykÅ ydMh,fDoaVy,500-00,
0771,feÍh dk rsy,yhVj,50-00,
0772,lQsan lhesaV vk/kkfjr iksyhej la”kksf/kr Lor% rjkbZ ;ksfxd ikmMj :Ik esa,fdyksxzke,15.00,
0775,nsgjknwu dk lQsn pwuk,fDoaVy,600-00,
0811,feÍh ¼lw[kh½,?ku eh-,165-00,
0826,",Y;wfefu;e jksxu",yhVj,150-00,
0827,vEylg jksxu ¼pkdysV ;k dkyk½,yhVj,225-00,
0828,la{kj.kjks/kh fcVwesuh jksxu ¼dkyk½,yhVj,100-00,
0829,CySd tkiku,yhVj,90-00,
0833,"Lafk”y’V ,ukesy jksxu dkyk ;k pkdysV",yhVj,175-00,
0845,"yksgs dh pknjksa ds fy, yky jax dk Nr jksxu",yhVj,120-00,
0851,tylg lhesaV jksxu,fd-xzk-,38-00,
0855,ekse ikfy”k ¼iwoZfefJr½,fd-xzk-,230-00,
0856,lk/kkj.k okfuZ”k,yhVj,100-00,
0857,mRÑ’V dksiy okfuZ”k,yhVj,115-00,
0858,mRÑ’V Likj okfuZ”k,yhVj,115-00,
0859,rsy tSlk dk’B ifjj{kh,yhVj,130-00,
0863,ydM+h ds dke dh iqVhu,fd-xzk-,28-00,
0982,eksVh jsr ¼{ks=&3½,?ku eh-,1500-00,
0999,piMk,fd-xzk-,300-00,
1000,fLifjV,yhVj,48-00,
1003,uje bLikr lfj;s 12 feeh- ls vf/kd C;kl okys,fDoaVy,4750-00,
1007,lajpuk bLikr tSls Vh] dksfu;ksa] ukyh&dkV vkSj csfYyr bLikr dh dfM+;k,a fDoaVy,4950-00,
1008,ifRr;ka 10 feeh- rd eksVh,fDoaVy,4830-00,
1023,"tLrh bLikr ds 8 feeh- C;kl ds tSlk ,d vkÑfr dh gqdsa",nl ux,120-00,
1034,Dkcys vkSj f<cfj;ka 300 feeh- ls vf/kd yEcs,fDoaVy,5200-00,
1174,yky cyqvk iRFkj ds ifV;s 45 feeh- rFkk 50 feeh- eksVs ¼vizlkf/kr½,oxZ eh-,260-00,
1186,mRÑ’V dksfV dh tSlh MaMsyh] cykj”kkg ;k ekykckj dh lkxkSu dh ydM+h ds r[rs,10 ?ku Mslh eh,- 1100-00,
1188,Ikgyh Js.kh ds lkxkSu dh ydM+h ds r[rs,10 ?ku Mslh eh,- 850-00,
1189,nwljh Js.kh dh lkxkSu dh ydM+h ds dM+h cRrs,10 ?ku Mslh eh,- 776-00,
1190,nwljh Js.kh dh lkxkSu dh ydM+h ds r[rs,10 ?ku Mslh eh,- 791-00,
1194,nwljh Js.kh dh nsonkj dh ydM+h ds r[rs,10 ?ku Mslh eh,- 500-00,
1196,igyh Js.kh dh dSy dh ydM+h ds r[rs,10 ?ku Mslh eh,- 300-00,
,,,01-04-2021,
,,,dks ;k mlls Bhd igys,
1199,Lkk[kw dh ydM+h ds dM+h&cRrs,10 ?ku Mslh eh,- 600-00,
1208,fcVwesu ok”kj,lkS ux,30-00,
1209,tLrh yksgs ds lkns eksVs ok”kj,lkS ux,35-00,
1213,tylg lkexzh,fd-xzk-,35-00,
1215,fo,qr IykaV ls oSfYMax,lsaVhehVj,2-00
1241,",y ih th ¼O;olkf;d flysaMj½",fdyksxzke,84-00,
1301,Cyhfpax ikmMj,fDoaVy,1800-00,
1314,Øksfe;e eqykEek;qDr ihry dh tathj] 32 feeh- C;kl dk jcM+ xÍk lfgr,izR;sd,40-00,
1315,Øksfe;e eqykEek;qDr ihry dh tathj] 40 feeh- C;kl dk jcM+ xÍk lfgr,izR;sd,40-00,
1880,"fMlesUVyM ih0 vkSj ,l0 Vªsi LØSi ¼yxHkx 2 fd-xzk- otu½",fd-xzk-,25-00,
1890,Centrifugally SCI(spun) S & S P or S trap,izR;sd,325-00,
1953,Hkkjrh; <ax dk tyeyk/kkj ik= 580 feeh uki dk ¼dkap&phuh&feÍh dk½,izR;sd,475-00,
1954,mMhlk uewus dk tyeyk/kkj ik= 580 feeh uki dk ¼dkap&phuh&feÍh dk½,izR;sd,1290-00,
1970,phuh feV~Vh ds ik;nku 250x125x25 feeh,tksM+k,103.00,
2200,Hkki dks;yk dh <qykbZ,Vu,187.35,
2201,bZaV dh <qykbZ,gtkj ux,437-15,
2202,40 feeh- ukeh; eki ls de iRFkj ds feykos dh <qykbZ,?ku eh-,163-93,
2203,eksVh jsr dh <qykbZ,?ku eh-,163-93,
2204,ydM+h dh <qykbZ,?ku eh-,187-35,
2205,bLikr dh <qykbZ,Vu,145-72,
2209,lhesaV dh <qykbZ,Vu,145-72,
2211,Vkj Mkej dh <qykbZ,Vu,163.93,
2216,lQsn vkSj yky cyqvk iRFkj ds jcM+ vkSj dksVk iRFkj dh f”kys dh <qykbZ,Vu,145-72,
2264,dwMs+ djdV dh <qykbZ,?ku eh-,163-93,
2406,dkap dh pknj 4 feeh- ukeh; eksVh ¼10 fdxzk-/oxZ eh- ls vU;wu Hkkj okyh otu okyh½,oxZ eh-,309-00,
2407,rq’kkfjr dkap dh pknj 5-5 feeh- ukeh; eksVh ¼13-50 fdxzk-/oxZ eh- ls vU;wu otu okyh½,oxZ eh-,515-00,
2466,gkyksd dh ydM+h ds dM+h&cRrs,10 ?ku Mslh eh,- 357-00,
2467,85x42 feeh- uki ds ihry ds f[kapko dkcysa] rkys ¼rkys okys dkcysa½ isap] dkcysa] f<cfj;ka vkSj ok”kj lfgr lEiw.kZ,izR;sd,172-00,
2602,7-5 oxZ uki dh fpduh feêh dh idkbZ gqbZ lkekU; Qq- ikS- ¼cxSj lkapk½ bZaVsa,gtkj ux,4590-00,
4009,"xeZ rS;kj dkyh izdkj dh uje bLikr dh ufydk,a",fd-xzke,60-00,
4202,jsM vkWDlkbM ftad ØksesV izkbej,yhVj,120-00,
4203,"rk¡cs dk ,lhVsV",fd-xzke,300-00,
7019,MS”k ca/kd@jlk;e ca/kd,çR;sd,12-50,
7241,Eksykekbu ikWfy”k,yhVj,300-00,
7346,nksgjs ;kstd,izR;sd,46-00,
,,01-04-2021,,
,,dks ;k mlls Bhd igys,,
0297,"iRFkj feykok ¼,d eki½ % 10 feeh- ukeh; eki dk ?ku eh-",1350-00,,
0302,lQsnk dh cfYy;ka 125 feeh- O;kl dk ehVj,40-00,,
0308,Hkwlk fDoaVy,500-00,,
0313,vuqeksfnr dksfV dk 85@25 izos”;rkokyk Qwadk gqvk isVªksfy;e fcVwesu Vu,34790-00,,
0316,vuqeksfnr dksfV dk fcVqesu ?kksy vLrj yhVj,47-00,,
0367,iksVZySaM lhesaV Vu,5000-00,,
0370,dks;yk fDoaVy,440-00,,
0427,ihry ds LFkkipki 300 feeh- izR;sd,110-00,,
0428,czkl QSu ykbZV dSp nl ux,170-00,,
0429,ihry dh frYyh dh dhyh nl ux,168-00,,
0430,"ihry ds frYyh [kVds ds fy, tathj vkSj dkaVk izR;sd",36-00,,
0442,ihry ds 150 feeh- lfiZyUMkj dekuh izR;sd,290-00,,
0444,ihry ds inkZ & NMsa 20 feeh- O;kl okyh 1-25 feeh- eksVh pknj dh cuh ehVj,140-00,,
0445,ihry ds inkZ & NMsa 25 feeh- O;kl okyh 1-25 feeh- eksVh pknj dh cuh ehVj,190-00,,
0446,ihry ds czSdsV ¼inkZ NMksa dh½ 20 feeh- izR;sd,45-00,,
0449,ihry ds isap 50 feeh- lkS ux,220-00,,
0450,ihry ds isap 40 feeh- lkS ux,170-00,,
0452,ihry ds isap 25 feeh- lkS ux,100-00,,
0524,Øksfe;e eqykEek;qDr ihry ds lVs dCts ¼Hkkjh½ izdkj ds 75x65x4-0 feeh- ftldk Hkkj 200 xzke ls de uk gks nl ux,905-00,,
0525,Øksfe;e eqykEek;qDr ihry ds lVs dCts ¼gYdk/lk/kkj.k½ izdkj ds 125x70x4 feeh- nl ux,805-00,,
0526,Øksfe;e eqykEek;qDr ihry ds lVs dCts ¼gYdk/lk/kkj.k½ izdkj 100x70x4 feeh- nl ux,690-00,,
0527,Øksfe;e eqykEek;qDr ihry ds lVs dCts ¼gYdk/lk/kkj.k½ izdkj ds 75x40x2-5 feeh- nl ux,421-00,,
0528,Øksfe;e eqykEek;qDr ihry ds lVs dCts ¼gYdk/lk/kkj.k½ izdkj ds 50x40x2-5 feeh- nl ux,180-00,,
0585,Øksfe;e eqykEek;qDr ihry ds isap 50 feeh- lkS ux,300-00,,
0586,Øksfe;e eqykEek;qDr ihry ds isap 40 feeh- lkS ux,290-00,,
0587,Øksfe;e eqykEek;qDr ihry ds isap 30 feeh- lkS ux,240-00,,
0588,Øksfe;e eqYyek;qDr ihry ds isap 25 feeh lkS ux,180-00,,
0589,Øksfe;e eqykEek;qDr ihry ds isap 20 feeh- lkS ux,160-00,,
0595,"pednkj ;k dkyk ,ukesy;qDr uje bLikr ds lVs dCts 100x58x1-90 feeh- nl ux",80-00,,
0597,"pednkj ;k dkyk ,ukesy;qDr uje bLikr ds lVs dCts 50x37x1-50 feeh- nl ux",49-00,,
0608,1 feeh- eksVk 25 feeh- pkSMk fudy & dybZ;Dr uje bLikr ds,,,
,+ q fi;kuksa dCts ehVj,39-00,,
7387,Spigot for standard jointing,kg,40.00,
7397,Base Jack,each,145.00,
7398,Challies,each,765.00,
7399,Cup locks,each,48.00,
7442,Wheel 75 mm dia. 40 mm wide,each,62.00,
7752,PVC slotted pipe 200 mm dia as per IS: 12818,metre,810.00,
8200,A.P.P. modified polymeric felt (two layers) 1.5 mm thick,sqm,80.00,
8201,A.P.P. modified polymeric felt (two layers) 2 mm thick,sqm,120.00,
8203,A.P.P. modified 2 mm thick membrane reinforced with glass fibre matt,sqm,130.00,
8204,A.P.P. modified 3 mm thick membrane reinforced with glass fibre matt,sqm,190.00,
8205,A.P.P. modified 3 mm thick membrane reinforced with polyester matt,sqm,210.00,
8206,Bitumen primer for bitumen membrane,litre,85.00,
8207,Geotextile 120 grams per sqm membrane,sqm,45.00,
8500,Water for jetting / blowback,1000 litre,1500.00,
8505,Acrylic exterior paint,litre,200.00,
8506,Premium Acrylic exterior paint,litre,210.00,
8507,Textured exterior paint,litre,280.00,
8508,Primer for cement paint,litre,90.00,
9977,Carriage,L.S.,2.12,
9988,Carriage and sundries,L.S.,2.12,
9999,Sundries,L.S.,2.12,
7387,"ekud tksM+ ds fy, MWkV",fd-xzke,40-00,
7397,vk/kkj tSd,izR;sd,145-00,
7398,"Nyfu;k¡ ¼uje bLikr ufydk,¡½",izR;sd,765-00,
7399,/kk=h vojks/k,izR;sd,48-00,
7442,75 feeh O;kl 40 feeh- pkSMk ifg;k,izR;sd,62-00,
7752,Hkk-Hkk-% 12818 ds vuq:Ik 200 fe-eh- O;kl dh ih-oh-lh- [kkWpsnkj ikbi,ehVj,810-00,
8200,", ih ih :ikUrfjr ikWfyesfjd uenk ¼f} ijrh½ 1-5 feeh eksVk",oxZ eh-,80-00,
8201,", ih ih :ikUrfjr ikWfyesfjd uenk ¼f} ijrh½ 2 feeh eksVk",oxZ eh-,120-00,
8203,", ih ih :ikUrfjr dkap ds js”ks dh eSV ls izcfyr 2 feeh eksVh f>Yyh",oxZ eh-,130-00,
8204,", ih ih :ikUrfjr dkap ds js”ks dh eSV ls izcfyr 3 feeh eksVh f>Yyh",oxZ eh-,190-00,
8205,", ih ih :ikUrfjr ikWyhLVj eSV ls izcfyr 3 feeh eksVh f>Yyh",oxZ eh-,210-00,
8206,"fcVqesu vLrj fcVqesu f>Yyh ds fy,",yhVj,85-00,
8207,ft;ksVsDlVkby 120 xzke izfr oxZ ehVj f>Yyh,oxZ eh-,45-00,
8500,"tsfVx@cyksocSd ds fy, ikuh",1000 yhVj,1500.00,
8505,",Økbfyd ckg~; jksxu",yhsVj,200-00,
8506,"fizfe;e ,Økfyd ckg~; jksxu",yhVj,210-00,
8507,VsDlpMZ ckg~; jksxu,yhVj,280-00,
8508,"lhesaV jksxu ds fy, vLrj",yhVj,90-00,
9977,<qykbZ,",deq”r",2-12,
9988,"<qykbZ ,oa fofo/k",",deq”r",2-12,
9999,fofo/k,",d eq”r",2-12,
,No.,,,
14.1,"Repairs to 2.5 sq.met raking out complete, complete plaster of thickness 12 mm to 20 mm in patches of area ers and under, including cutting the patch in proper shape, joints and preparing and plastering the surface of the walls including disposal of rubbish to the dumping ground, all as per direction of Engineer-in-Charge.",,,
14.1.1,With cement mortar 1:4 (1 cement : 4 fine sand),sqm,462.30,
14.1.2,With cement mortar 1:4 (1cement: 4 coarse sand),sqm,478.00,
14.2,"Fixing cho in floors or in cement concrete 1 20 mm no to sides o floors as dumping g wkhats in existing opening including embedding chowkhats walls cutting masonry for holdfasts, embedding hold fasts concrete blocks of size 15 x 10 x 10 cm with cement :3:6 (1 cement : 3 coarse sand : 6 graded stone aggregate minal size), painting two coats of approved wood preservative f chowkhats and making good the damages to walls and required complete, including disposal of rubbish to the round, all complete as per direction of Engineer-in-Charge.",,,
14.2.1,Door chowkhats,each,1505.30,
14.2.2,Window chowkhats,each,948.05,
14.2.3,Clerestory window chowkhats,each,712.85,
14.3,"Fixing cho fasteners/ vertical me of window fastener. wkhat in existing opening in brick/ RCC wall with dash Chemical fasteners of appropriate size (3 nos on each mber of door chowkhat and 2 nos on each vertical member chowkhats), including Cost of dash fasteners/ chemical",each,190.25,
14.4,"Making th or walls by flooring an of mulba/ complete e opening in brick masonry including dismantling in floor cutting masonry and making good the damages to walls, d jambs complete, to match existing surface i/c disposal rubbish to the nearest municipal dumping ground, all as per direction of Engineer-in-Charge.",,,
14.4.1,For door/ window/ clerestory window,sqm,1046.95,
14.5,"Renewing including glass panes, with putty and nails wherever necessary racking out the old putty:",,,
14.5.1,Float glass panes of nominal thickness 4 mm (weight not less than 10kg/sqm),sqm,941.95,
14.5.2,Float glass panes of nominal thickness 5 mm (weight not less than 12.5kg/sqm),sqm,1245.15,
14.6,"Renewing glass panes, with wooden fillets wherever necessary:",,,
14.6.1,Float glass panes of nominal thickness 4 mm (weight not less than 10kg/sqm),sqm,1351.15,
14.6.2,Float glass panes of nominal thickness 5 mm,,,
,(weight not less than 12.5kg/sqm),sqm,1654.30,
,No.,,,
14.7,Renewin g glass panes and refixing existing wooden fillets:,,,
14.7.1,Float glass panes of nominal thickness 4 mm (weight not less than 10kg/sqm),sqm,1055.20,
14.7.2,Float glass panes of nominal thickness 5 mm (weight not less than 12.5kg/sqm),sqm,1358.35,
14.8,Supplyin g and fixing new wooden fillets wherever necessary:,,,
14.8.1,2nd class teak wood fillets,metre,66.05,
14.8.2,Hollock wood fillets,metre,59.35,
14.9,Renewal of old putty of glass panes (length),metre,46.40,
14.10,Refixing old glass panes with putty and nails,sqm,603.05,
14.11,Fixing ol d glass panes with wooden fillets (excluding cost of fillets),sqm,560.60,
14.12,"Providing size in ex to reinfor chase wi portion o and fixing 16 mm M.S. Fan clamps of standard shape and isting R.C.C. slab, including cutting chase, anchoring clamp cement bar, including cleaning, refilling, making good the th matching concrete, plastering and painting the exposed f the clamps complete.",each,468.40,
14.13,"Regradin cement m preparin plaster g 1:3 (1 ce or bricks the dump complete g terracing of mud phaska covered with tiles or brick, in ortar by dismantling tiles or bricks, removing mud plaster, g the surface of mud phaska to proper slope, relaying mud obri leaping and tiles or bricks, grouted in cement mortar ment : 3 fine sand), including replacing unserviceable tiles with new ones and disposal of unserviceable material to ing ground (the cost of the new tiles or brick excluded), all as per direction of Engineer-in-Charge.",sqm,577.90,
14.14,"Replacin cement : pointing dumping 14.14.1 g sand stone slabs in roofing, laid in cement mortar 1:4 (1 4 coarse sand), including necessary repairs and cement with same mortar complete, including disposal of rubbish to ground, all complete as per direction of Engineer-in-Charge. Red/ white sand stone slabs 30 to 50 mm thick",sqm,1099.15,
14.15,"Renewin in wall an and man dumping g wooden battens in roofs, including making good the holes d painting with oil type wood preservative of approved brand ufacture complete, including removal of rubbish to the ground, all complete as per direction of Engineer-in-Charge.",,,
14.15.1,Sal wood battens,cum,92213.65,
14.16,"Renewin in walls a brand an dumping 14.16.1 g wooden beams in roofs including making good the holes nd painting with oil type wood preservative of approved d manufacture complete, including removal of rubbish to the ground, all complete as per direction of Engineer-in-Charge. Not exceeding 4.00 metres in length.",,,
14.16.1.1,Sal wood beams,cum,96739.70,
14.16.1.2,Hollock wood beams,cum,63238.90,
,No.,,,
14.16.2,Above 4.00 metres and upto 5.00 metres length.,,,
14.16.2.1,Sal wood beams,cum,99011.80,
14.16.2.2,Hollock wood beams,cum,65503.80,
14.17,"Raking o for re-poi dumping ut joints in lime or cement mortar and preparing the surface nting or replastering, including disposal of rubbish to the ground, all complete as per direction of Engineer-in-Charge.",sqm,59.75,
14.18,Flush poi with 2% o flat tile br nting with cement mortar 1:3 (1 cement : 3 fine sand) mixed f integral water proofing compound by weight of cement for icks on top of mud phaska :,,,
14.18.1,With F.P.S. brick tiles,sqm,114.70,
14.18.2,With modular brick tiles,sqm,115.95,
14.19,"Taking ou etc. and r stacking. t wind ties from roof including cutting out rusted bolts, nuts emoving materials to any distance within compound and",kg,4.45,
14.20,Fixing of coats wi manufac chromate old wind tie with new fittings including painting two or more th anticorrosive bitumastic paint of approved brand & turer over and including priming coat of ready mixed zinc yellow primer of approved brand.,metre,107.00,
14.21,Renewin making g yellow pri g bottom rail and/or top runner of collapsible gate including ood all damages and applying priming coat of zinc chromate mer of approved brand and manufacturer.,kg,246.15,
