dksM la0,fooj.k,bdkbZ,nj
,15-14-1 40 oxZ lsaeh- ls vf/kd dkV & {ks=Qy okys,?ku eh-,3674.50
,15-14-2 40 oxZ lsaeh- ls de dkV & {ks=Qy okys,ehVj,14.70
15-15,"vfrfjDr Hkqxrku] ydM+h ds dke dh dSfp;ka] dfM+;ka vkfn m[kkM+us esa 10 ehVj ls vf/kd ikV ds izR;sd vfrfjDr ehVj ikV ;k mlds Hkkx ds fy, %",,
,15-15-1 40 oxZ lsaeh- vkSj blls vf/kd dkV & {ks=Qy okys [kaM,?ku eh- izfr eh-,
,,ikV,487.95
,15-15-2 40 oxZ lsaeh- ls de dkV & {ks=Qy okys [kaM,ehVj izfr eh,
,,ikV,1.35
15-16,"vfrfjDr Hkqxrku] ydM+h ds dke dh dSfp;ka] dfM+;ka] ifyZus vkfn m[kkM+us esa 5 ehVj ls vf/kd Å¡pkbZa ij izR;sd vfrfjDr ehVj Å¡pkbZa ;k mlds Hkkx ds fy, %",,
,15-16-1 40 oxZ lsaeh- vkSj blls vf/kd dkV & {ks=Qy okys [kaM,?ku eh- izfr eh-,
,,Å¡pkbZa,708.30
,15-16-2 40 oxZ lsaeh- ls de dkV & {ks=Qy okys [kaM,ehVj izfr eh-,
,,Å¡pkbZa,2.80
15-17,bdgjh dkV okyk bLikr dk dke m[kkM+uk] vo;oksa dks vyx & vyx djus S s s s,,
,vkj 50 ehVj rd dh njh ij mud pÍ yxku lfgr %,,
,w 15-17-1 csfYyr bLikr dfM+;ksa dk,fdxzk-,2.80
,15-17-2 Ukfy;ksa] dksfu;ksa] Vh&;ksa vkSj ifRr;ksa dk,fdxzk-,1.90
mi “kh’kZ,"288 % 15-0 fo[kUMu ,oa <gkuk",,
15-18,dksfu;ksa] Vh&;ksa] ifRr;ksa vkSj Ukfy;ksa dh tqM+h dkV okyk bLikr dk dke m[kkM+uk] lHkh xlsV & ifÍ;ksa] dkcyksa] f<cfj;ksa dks [kksyuk rFkk fjcsVksa] >ykbZ vkfn dks dkVuk] vo;oksa dks vyx & vyx djus vkSj 50 ehVj rd dh nwjh ij muds pÍs yxkus lfgr %,fdxzk-,4.65
15-19,"izHkkjh vfHk;ark ds funsZ”kkuqlkj tqM+h dkV okyk bLikr dk dke gkFk/e”khu ls m[kkM+uk vkSj vo;oksa dks vyx & vyx fd, fcuk gh 50 ehVj rd dh nwjh ij muds pÍs yxkuk",fdxzk-,3.20
15-20,"vfrfjDr Hkqxrku] dSfp;ksa] dfM+;ksa] ifyZuksa vkfn dk bLikr dk dke m[kkM+us esa 10 ehVj ls vf/kd ikV ds izR;sd vfrfjDr ehVj ikV ;k mlds Hkkx ds fy, %",fdxzk- izfr ehVj ikV,0.70
15-21,"vfrfjDr Hkqxrku] dSfp;ksa] dfM+;ksa] ifyZuksa vkfn dk bLikr dk dke m[kkM+us esa 5 ehVj ls vf/kd Å¡pkbZa ij izR;sd vfrfjDr ehVj Å¡pkbZa ;k mlds Hkkx ds fy, %",fdxzk- izfr ehVj Å¡pkbZa,0.70
15-22,"vfrfjDr Hkqxrku] lajpuk bLikr dk dke ;fn fQj ls [kM+k djuk gks rks mls fpfgur djus ds fy,",fdxzk-,3.80
15-23,QW”kksZa vkSj Nrksa esa lhesaV & elkyk & yxk gqvk Vkbyksa dk dke rksM+uk eky ds 50 ehVj rd dh nwjh ij pÍs yxkus lfgr %,,
,15-23-1 ;fn Vkbyksa dh eksVkbZ 10 feeh ls 25 feeh rd gks,oxZ eh-,60.50
,15-23-2 ;fn Vkbyksa dh eksVkbZ 25 feeh ls vf/kd 40 feeh rd gks,oxZ eh-,93.40
15-24,QW”kksZa] ukfy;ksa vkfn dh lw[kh bZaV & tqM+kbZ m[kkM+uk mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd] fuiVku djus lfgr %,?ku eh-,1086.45
15-25,lhesaV & elkys esa yxs iRFkj ds ifV;ksa dk Q”kZ m[kkM+uk mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd] fuiVku djus lfgr %,oxZ eh-,219.75
15-26,VSjsl dk bZaV & Vkby vkoj.k rksM+uk] mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd] fuiVku djus lfgr %,oxZ eh-,86.80
15-27,VSjsl dk feÍh & Qldk rksM+uk vkSj eky dk 50 ehVj dh nwjh rd] fuiVku djuk,?ku eh-,753.75
15-28,Nr dks exfj;ksa] dkfV;ksa] ?kkVh & ukfy;ksa vkSj ukfy;ksa vkfn lfgr m[kkM+uk vkSj eky ds 50 ehVj dh nwjh ij pÍs yxkuk %,,
,15-28-1 tLrh bLikr dh pknjksa dh,oxZ eh-,136.00
,"15-28-2 ,LcsLVkl lhesaV dh pknjksa dh",oxZ eh-,63.75
15-29,"ydM+h dh dfM+;ksa ;k izcfyr lhesaV & daØhV ds cRrksa ij iRFkj ds ifV;ksa dh Nr rksM+uk ¼dfM+;ksa vkSj cRrs m[kkM+us ds fy, Hkqxrku vyx ls gksxk½ mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd] fuiVku djus lfgr %",?ku eh-,2197.55
15-30,Nr & MkV okyh Nrsa vkSj Q”kZ rksM+uk] laiw.kZ] mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd] fuiVku djus lfgr %,oxZ eh-,209.40
15-31,[kijSy dh Nr] cRrksa] r[rksa vkfn lfgr rksM+uk] laiw.kZ] mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd] fuiVku djus lfgr %,oxZ eh-,173.15
15-32,NIijokyh Nr] pVkb;ksa] ckal dh tkQjh vkfn lfgr rksM+uk] laiw.kZ] mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd] fuiVku djus lfgr %,oxZ eh-,47.65
mi “kh’kZ,"289 % 15-0 fo[kUMu ,oa <gkuk",,
15-33,ydM+h dh cfYy;ksa ds Fkwus vkSj Fkkesa m[kkM+uk vkSj 50 ehVj rd dh nwjh ij muds pÍs yxkuk],ehVj,17.30
15-34,ckM+ esa yxs [kEcs ;k Fkkesa m[kkM+uk vkSj dk 50 ehVj dh nwjh ij muds pÍs yxkuk] lkjs feÍh ds dke vkSj vk/kkj dh daØhV vkfn dh rqM+kbZ lfgr %,,
,15-34-1 Vh ;k dksfu;k yksgs ;k uyksa ds,izR;sd,192.95
,15-34-2 izcfyr lhesaV & daØhV ds,izR;sd,204.80
15-35,ckM+ esa yxs ydM+h ds [kEHks ;k cfYy;ka] tgka os daØhV ;k Hkwfe ls Åij fudyrs gSa] ogka ls dkVdj 50 ehVj dh nwjh ij muds pÍs yxkuk,izR;sd,11.80
15-36,dkaVsnkj rkj ;k uE; rkj & jLls dh ckM+ m[kkM+uk] yisVdj mlds caMy cukuk vkSj 50 ehVj dh nwjh ij muds pÍs yxkuk,fdxzk-,30.35
15-37,ydM+h dh tkQjh dk dke m[kkM+uk <+kapk NksM+dj fdUrq mi;ksxh eky ds 50 ehVj rd dh nwjh ij muds pÍs yxkus lfgr,oxZ eh-,53.50
15-38,cQhZ tkyh ;k vkbZ- vkj- lh- tkyh vko”;d cRrksa vkSj xksVu lfgr m[kkM+uk] mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd fuiVku djus lfgr,oxZ eh-,62.50
15-39,"nhokjksa ds vLrj.k vkSj inkZ & nhokjksa esa yxs gq, ydM+h ds r[rs m[kkM+uk] mUgsa vkyEc nsus okys vo;oksa dks NksM+dj] fdUrq 50 ehVj rd dh nwjh ij pÍs yxkus lfgr %",,
,15-39-1 10 feeh rd eksVs,oxZ eh-,50.35
,15-39-2 10 feeh ls vf/kd 25 feeh rd eksVs,oxZ eh-,64.15
,15-39-3 25 feeh ls vf/kd 40 feeh rd eksVs,oxZ eh-,74.70
15-40,nhokjksa] inkZ & nhokjksa vkfn esa yxs iwoZ & fojfpr daØhV ;k iRFkj ds ifV;s m[kkM+uk] vkSj 50 ehVj rd dh nwjh ij pÍs yxkus lfgr %,,
,15-40-1 40 feeh rd eksVs,oxZ eh-,238.65
,15-40-2 40 feeh ls vf/kd 75 feeh rd eksVs,oxZ eh-,357.60
15-41,"lhesaV/,slcsLVkWl ;k vU; gkMZcksMZ Nrxhjh ;k inkZ & nhokjsa rksM+usa] mi;ksxh eky ds pÍs yxkus vkSj vuqi;ksxh eky dk 50 ehVj dh nwjh rd fuiVku djus lfgr",oxZ eh-,46.50
15-42,"<ys yksgs ds ;k ,slcsLVkWl ds cjlkrh uyksa dks mudh tM+ukjksa vkSj DySEiksa lfgr m[kkM+uk] vkSj eky ds 50 ehVj rd dh nwjh ij pÍs yxkuk %",,
,15-42-1 75 ls 80 feeh O;kl ds uy,ehVj,62.40
