Item No.,Description,Unit,Rate,
2209,Carriage of Cement,tonne,145.72,
2911,Stone chippings/ screenings 10/ 11.2 mm nominal size,cum,1200.00,
,,,01-04-2021 dks ;k mlls Bhd igys,
0006,oS/kqr izHkkj lfgr Qqgkfj= e”khu dk HkkM+k,fnu,250-00,
0101,fHk”rh,fnu,714.00,
0112,c<+bZ f}rh; Js.kh,fnu,714.00,
0114,csynkj,fnu,645.00,
0115,dqyh,fnu,645.00,
0117,lgk;d fQVj ;k nqljh {kzs.kh dk fQVj,fnu,714.00,
0122,jkt ¼IyklVj isfjl dk;Z gsrq izFke Js.kh½,fnu,784.00,
0123,jkt izFke Js.kh,fnu,784.00,
0131,jaxlkt,fnu,714.00,
0141,iqrS;k,fnu,714.00,
0155,jkt ¼vkSlr½,fnu,749.00,
0156,c<+bZ ¼vkSlr½,fnu,749-00,
0324,dksyrkj,yhVj,30.00,
0367,iksVZySaM lhesaV,Vu,5000.00,
0368,lQsn lhesaV,Vu,11200.00,
0763,ljsl,fd-xzk-,75.00,
0771,feÍh dk rsy,yhVj,50.00,
0772,lQsn lhesaV vk/kkfjr iksfyej laFkksf/kr Lor% rjkbZ ;ksfxd ikmMj :Ik esa,fd-xzk-,15.00,
0775,nsgjknwu dk lQsn pwuk,fDoaVy,600.00,
0776,lruk pwuk,fDoaVy,370.00,
0777,lw[kk tycq>k pwuk ¼dkj[kkusa esa cuk½,fDoaVy,290.00,
0801,"flfydkWu rFkk ,fdfyd ik;l",yhVj,120.00,
0802,"izFke Js.kh xq.koŸkk dk ,fdfyd fMLVsEij ftlesa oh-vks-lh- Hkkx 50 xzk- yhVj ls de gksA",fd-xzk-,40.00,
0803,",fdfyd ik;l ftlesa oh-vks- lh- dk fgLlk 50 xzk-@yh ls de gksA",yhVj,94.00,
0804,"bfUVfj;j xzsM dk izhfe;e ,fdfyd ik;l ftlesa oh-vks-lh- Hkkx 50 xzk-@ yh ls de gksA",yhVj,200.00,
0806,ydM+h dk;Z l[r rFkk uje ydM+h ij rS;kj fefJr xqykch vFkok xzs vLrj ftlesa oh-vks-lh- Hkkx 50 xzk-@yh- ls de gksA,yhVj,105.00,
0808,"vkarfjd nhokj dh lrg ds fy, ikuh fFkuscy lhesaV vLrj ftlesa Hkkx",,,
,50 xzk-@yh- ls de gksA,yhVj,50.00,
,,,,01-04-2021
,,,,dks ;k mlls Bhd igys
0818,vylh dk rsy ¼nks ckj mcyk gqvk½,,yhVj,200.00
0824,lQsn lhesaUV vk/kkfjr iqV~Vh,,fØ-xzk-,13.00
0826,",yqfefu;e jksxu",,yhVj,150.00
0827,vEylg jksxu ¼pkdysV ;k dkyk½,,yhVj,225.00
0828,taxjks/kh fcVwesuh jksxu ¼dkyk½,,yhVj,100.00
0829,dkyk tkiku,,yhVj,90.00
0833,"Lkaf”y”V ,uSey jksxu dkyk ;k pkdysV jax dk",,yhVj,175.00
0834,"dkys ;k pkdysV ds vfrfjDr vU; lHkh jaxksa dk laf”y’V ,uSey jksxu",,yhVj,165.00
0836,"100%/kwy izfrjks/kh izhfe;e ,Øsfyd] flfydkWu ;kstd ckgjh isaV",,yhVj,270.00
0837,",Øsfyd ckgjh izkbej",,yhVj,100.00
0850,lQsnk,,fd-xzk-,170.00
0851,tyjks/kd lhesaV jksxu,,fd-xzk-,38.00
0855,ekse&ikfy”k ¼iwoZ fefJr½,,fd-xzk-,230.00
0856,Lkk/kkj.k okfuZ”k,,yhVj,100.00
0857,mPp Js.kh dksiy okfuZ”k,,yhVj,115.00
0858,mPp Js.kh Likj okfuZ”k,,yhVj,115.00
0859,rsyh; ydM+h ifjj{kh,,yhVj,130.00
0868,igys ls feyk gqvk lqij ogkbV ftIle iyLrj,,fd-xzk-,6.00
0869,IykLVj vkWQ isfjl,,fd-xzk-,5.00
0982,eksVh jsr ¼{ks= 3½,,?ku eh-,1500.00
0999,piM+k,,fd-xzk-,300.00
1000,fLifjV,,yhVj,48.00
1179,nyk gqvk iRFkj 2-36 feeh ls 12-5 feeh uki ds,,?ku eh-,900.00
1198,nwljh Js.kh dh dSy dh ydM+h ds r[rs,,10 ?k-,Ms- eh- 260.00
1213,ty jks/kd lkexzh,,fd-xzk-,35.00
1216,[kfM;k feV~Vh,,fDoaVy,600.00
1315,Øksfe;e eqyEek;qDr ihry dh tathj vkSj 40 feeh O;kl jcM+&xV~Vk,,izR;sd,40.00
2202,iRFkj ds feykos ¼40 feeh ukeh; uki ls Øe½ dh <qykbZ,,?ku eh-,163.93
2203,eksVh jsr dh <qykbZ,,?ku eh-,163.93
2209,lhesaV dh <qykbZ,,Vu,145.72
2911,iRFkj dh dRrysa@Nkul 10@11-2 feeh ukHkh; uki dh,,?ku eh-,1200.00
4201,Aluminium primer,litre,120.00,
4202,Red oxide Zinc chromate primer,litre,110.00,
4203,Copper acetate,kg,300.00,
4204,Hydrochloric acid,kg,35.00,
4205,Copper chloride,kg,300.00,
4206,Copper nitrate,kg,210.00,
4207,Ammonium chloride,kg,22.00,
7239,Epoxy paint,litre,215.00,
7240,Fire retardant paint,litre,240.00,
7241,Melamine polish,litre,300.00,
7306,Aluminium T or L sections,kg,190.00,
8504,Multi surface paint,litre,300.00,
8505,Acrylic exterior paint,litre,200.00,
8506,Premium Acrylic exterior paint,litre,210.00,
8507,Textured exterior paint,litre,280.00,
8508,Primer for cement paint,litre,90.00,
8509,Special Primer (C.W.),litre,160.00,
8510,Metal Primer (U.G.),litre,105.00,
8733,"Synthetic ployster triangular fibre of length 6 mm, effective diameter 10-40 microns and specific gravity of 1.34 to 1.40",kg,410.00,
9977,Carriage,L.S.,2.12,
9988,Carriage and sundries,L.S.,2.12,
9999,Sundries,L.S.,2.12,
4201,",yqfefu;e vLrj",,yhVj,120.00
4202,yky vkDlkbM tLr ØksesV dk vLrj,,yhVj,110.00
4203,"Rkkacs dk ,lhVsV",,fd-xzk-,300.00
4204,ued dk vEy,,fd-xzk-,35.00
4205,rkacs dk DyksjkbM,,fd-xzk-,300.00
4206,rkacs dk ukbVªsV,,fd-xzk-,210.00
4207,veksfu;e DyksjkbM,,fd-xzk-,22.00
7239,bikDlhjksxu,,yhVj,215.00
7240,vfXueand jksxu,,yhVj,240.00
7241,Eksykekbu ikfy”k,,yhVj,300.00
7306,",Y;qfefu;e ,y- vFkok Vh- vuqHkkx",,fd-xzk-,190.00
8504,cgq lrg jksxu,,yhVj,300.00
8505,",Øhfyd ckgjh jksxu",,yhVj,200.00
8506,"izhfe;e ,Øhfyd ckgjh jksxu",,yhVj,210.00
8507,VsDlpMZ ckgjh jksxu,,yhVj,280.00
8508,"lhesaV isaV ds fy, vLrj",,yhVj,90.00
8509,fo”ks’k vLrj ¼lh- McY;w-½,,yhVj,160.00
8510,/kkrq vLrj ¼;w- th-½,,yhVj,105.00
8733,flaFksfVd iykLVj frdksuk js”ksnkj 6 feeh yackbZ] izHkkoh O;kl 10&40 ekbØku vkSj 1-34 ls 1-40 dk fof”k’V xq:Ro,,fd-xzk-,410.00
9977,<qykbZ,,",d eqLr",2.12
9988,"<qykbZ ,oa fofo/k",,",d eqLr",2.12
9999,fofo/k,,",d eqLr",2.12
,No.,,,
,Note :- R ground l CEMENT ates for external plastic are for height upto 10m from evel in less otherwise stated. PLASTER (IN FINE SAND),,,
13.1,12 mm c ement plaster of mix :,,,
13.1.1,1:4 (1 cement: 4 fine sand),sqm,294.85,
13.1.2,1:6 (1 cement: 6 fine sand),sqm,282.00,
13.2,15 mm ce mix : ment plaster on the rough side of single or half brick wall of,,,
13.2.1,1:4 (1 cement: 4 fine sand),sqm,339.70,
13.2.2,1:6 (1 cement: 6 fine sand),sqm,324.30,
13.3,20 mm c ement plaster of mix :,,,
13.3.1,1:4 (1 cement: 4 fine sand),sqm,402.15,
13.3.2,1:6 (1 cement: 6 fine sand),sqm,382.10,
,CEMENT PLASTER (IN COARSE SAND),,,
13.4,12 mm c ement plaster of mix :,,,
13.4.1,1:4 (1 cement: 4 coarse sand),sqm,307.25,
13.4.2,1:6 (1 cement: 6 coarse sand),sqm,294.35,
13.5,15 mm c mix: ement plaster on rough side of single or half brick wall of,,,
13.5.1,1:4 (1 cement: 4 coarse sand),sqm,354.50,
13.5.2,1:6 (1 cement: 6 coarse sand),sqm,339.10,
13.6,20 mm c ement plaster of mix :,,,
13.6.1,1:4 (1 cement: 4 coarse sand),sqm,421.40,
13.6.2,1:6 (1 cement: 6 coarse sand),sqm,401.35,
,CEMENT PLASTER WITH A FLOATING COAT OF NEAT CEMENT,,,
13.7,12 mm ce mix : ment plaster finished with a floating coat of neat cement of,,,
13.7.1,1:3 (1 cement: 3 fine sand),sqm,374.15,
13.7.2,1:4 (1 cement: 4 fine sand),sqm,361.30,
13.8,15 mm c finished ement plaster on rough side of single or half brick wall with a floating coat of neat cement of mix :,,,
13.8.1,1:3 (1 cement: 3 fine sand),sqm,421.50,
13.8.2,1:4 (1 cement: 4 fine sand),sqm,406.10,
,No.,,,
13.21,Extra for p plaster wo roviding and mixing water proofing material in cement rk in proportion recommended by the manufacturers.,per bag of 50kg cement used in the mix,60.55,
13.22,Extra for p ground lev lastering exterior walls of height more than 10 m from el for every additional height of 3 m or part thereof.,sqm,72.80,
13.23,Extra for p lastering on circular work not exceeding 6 m in radius:,,,
13.23.1,In one coat,sqm,39.35,
13.23.2,In two coats,sqm,59.75,
13.24,"Extra for including plastering done on moulding, cornices or architraves neat finish to line and level:",,,
13.24.1,In one coat,sqm,587.20,
13.24.2,In two coats,sqm,967.85,
13.25,Extra for p lastering:,,,
13.25.1,Spherical ceiling,sqm,146.65,
13.25.2,Groined ceiling,sqm,158.85,
13.25.3,Flewing soffits,sqm,97.05,
13.26,Providing plastered ARTIFICI and applying plaster of paris putty of 2 mm thickness over surface to prepare the surface even and smooth complete. AL STONE PLASTER,sqm,214.30,
13.27,Extra for li PLAIN CE ning out plaster to imitate stone or concrete blocks walling. MENT MORTAR BANDS,sqm,93.75,
13.28,12 mm th (1 cement ick plain cement mortar bands in cement mortar 1:4 : 4 fine sand):,,,
13.28.1,Flush Band,cm per metre,6.25,
13.28.2,Sunk Band,cm per metre,6.85,
13.28.3,Raised Band,cm per metre,7.80,
13.28.4,Moulded Band,cm per metre,13.35,
13.29,18 mm th (1 cement ick plain cement mortar band in cement mortar 1:4 : 4 fine sand):,,,
13.29.1,Flush Band,cm per metre,7.60,
13.29.2,Sunk Band,cm per metre,8.35,
13.29.3,Raised Band,cm per metre,9.55,
13.29.4,Moulded Band,cm per metre,17.80,
13.30,18 mm thi 12 mm thi layer 6 m ck moulded cement mortar band in two coats under layer ck with cement mortar 1:5 (1 cement : 5 coarse sand) top m thick with cement mortar 1:4 (1 cement : 4 fine sand).,cm per metre,17.85,
,No.,,,
,POINTIN G ON BRICK WORK,,,
13.31,Pointing o (1 cement n brick work or brick flooring with cement mortar 1:3 : 3 fine sand):,,,
13.31.1,Flush / Ruled/ Struck or weathered pointing,sqm,214.40,
13.31.2,Raised and cut pointing,sqm,349.35,
,POINTIN G ON TILE BRICK WORK,,,
13.32,Pointing o sand): n tile brick work with cement mortar 1:3 (1 cement : 3 fine,,,
13.32.1,Flush/ Ruled/ Struck or weathered pointing,sqm,292.05,
,POINTIN G ON STONE WORK,,,
13.33,Pointing o sand) : n stone work with cement mortar 1:3 (1 cement : 3 fine,,,
13.33.1,Flush/ Ruled pointing,sqm,319.35,
13.33.2,Raised and cut pointing,sqm,580.25,
13.34,Raised an (1 white c d cut pointing on stone work in white cement mortar 1:3 ement : 3 marble dust).,sqm,597.60,
13.35,Pointing o 2 fine san n stone slab ceiling with cement mortar 1:2 (1 cement : d):,,,
13.35.1,Flush/ Ruled pointing,sqm,177.85,
13.36,Extra for p from grou INTERIOR ointing on walls on the outside at height more than 10 m nd level for every additional height of 3 m or part there of. FINISHING,sqm,7.60,
13.37,White was hing with lime to give an even shade :,,,
13.37.1,New work (three or more coats),sqm,32.45,
13.38,Satna lim e wash on walls with one coat.,sqm,13.10,
13.39,"Colour wa shing such as green, blue or buff to give an even shade :",,,
13.39.1,New work (two or more coats) with a base coat of white washing with lime,sqm,44.25,
13.39.2,New work (two or more coats) with a base coat of whiting,sqm,43.80,
13.40,DELETED,,,
13.41,Distemper and manu ing with oil bound washable distemper of approved brand facture to give an even shade :,,,
13.41.1,New work (two or more coats) over and including water thinnable priming coat with cement primer,sqm,162.55,
13.42,"Distemper VOC cont required specificati ing with 1st quality acrylic distemper (ready mixed) having ent less than 50 gms/litre, of approved manufacturer, of shade and colour complete, as per manufacturer's on.",,,
13.42.1,Two or more coats on new work,sqm,92.75,
,No.,,,
13.43,Applying o and manu ne coat of water thinnable cement primer of approved brand facture on wall surface :,,,
13.43.1,Water thinnable cement primer,sqm,64.45,
,EXTERIO R FINISHING,,,
13.44,Finishing 13.44.1 walls with water proofing cement paint of required shade : New work (Two or more coats applied @ 3.84 kg/10 sqm),sqm,97.60,
13.45,Finishing walls with textured exterior paint of required shade :,,,
13.45.1,New work (Two or more coats applied @ 3.28 ltr/10 sqm) over and including priming coat of exterior primer applied @ 2.20kg/10 sqm,sqm,245.00,
13.46,Finishing walls with Acrylic Smooth exterior paint of required shade :,,,
13.46.1,New work (Two or more coat applied @ 1.67 ltr/10 sqm over and including priming coat of exterior primer applied @ 2.20 kg/10 sqm),sqm,166.85,
13.47,Finishing Silicone a walls with Premium Acrylic Smooth exterior paint with dditives of required shade:,,,
13.47.1,New work (Two or more coats applied @ 1.43 ltr/10 sqm over and including priming coat of exterior primer applied,,,
,@ 2.20 kg/10 sqm),sqm,162.35,
13.48,Finishing exteriors u with Deluxe Multi surface paint system for interiors and sing Primer as per manufacturers specifications :,,,
13.48.1,Two or more coats applied on walls @ 1.25 ltr/10 sqm over and including one coat of Special primer applied @ 0.75 ltr /10 sqm,sqm,158.95,
13.48.2,Painting wood work with Deluxe Multi Surface Paint of required shade. Two or more coat applied @ 0.90 ltr/10 sqm over an under coat of primer applied @0.75 ltr/10 sqm of approved brand and manufacture,sqm,144.90,
13.48.3,Painting Steel work with Deluxe Multi Surface Paint to give an even shade. Two or more coat applied @ 0.90 ltr/ 10 sqm over an under coat of primer applied @ 0.80 ltr/ 10 sqm of approved brand and manufacture,sqm,140.05,
,"13.48A Finishing VOC less Alkali & fu shade (C walls with 100% Premium acrylic emulsion paint having than 50 gm/litre and UV resistance as per IS 15489:2004, ngal resistance, dirt resistance exterior paint of required ompany Depot Tinted) with silicon additives.",,,
,13.48A.1 New work (Two or more coats applied @ 1.43 litre/ 10 sqm. Over and including priming coat of exterior primer applied @ 0.90 litre/10 sqm.,sqm,154.45,
13.50,Applying p riming coat:,,,
13.50.1,With ready mixed pink or Grey primer of approved brand and manufacture on wood work (hard and soft wood),sqm,61.45,
13.50.2,With ready mixed aluminium primer of approved brand,,,
,and manufacture on resinous wood and plywood,sqm,62.95,
,No.,,,
13.50.3,With ready mixed red oxide zinc chromate primer of approved brand and manufacture on steel galvanised iron/ steel works,sqm,55.50,
13.50.4,With ready mixed red oxide zinc chromate primer of approved brand and manufacture on steel work (second coat),sqm,29.75,
13.51,Painting w of approv plastered ith silicon & acrylic emulsion based water thinnable sealer ed brand and manufacture on wet or patchy portion of surfaces :,,,
13.51.1,One coat,sqm,83.50,
13.51.2,Two coats,sqm,132.65,
13.52,"Finishing w and applie priming co ith Epoxy paint (two or more coats) at all locations prepared d as per manufacturer's specifications including appropriate at, preparation of surface, etc. complete.",,,
13.52.1,On steel work,sqm,201.70,
13.52.2,On concrete work,sqm,198.40,
13.53,Painting o and manu n G.S. sheet with synthetic enamel paint of approved brand facture of required colour to give an even shade :,,,
13.53.1,New work (two or more coats) including a coat of approved steel primer but excluding a coat of mordant solution,sqm,150.20,
13.54,Applying a coat of mordant solution on G.S. sheet:,,,
13.54.1,With a solution of 38 gms of copper acetate in a litre of soft water,sqm,52.70,
13.54.2,"With a solution made of 13 gms of hydrochloric acid in a solution of 13 gms each of copper chloride, copper nitrate",,,
,and ammonium chloride dissolved in a litre of soft water,sqm,52.50,
13.55,"Painting (t and fittings and manu chromate wo or more coats) on rain water, soil waste and vent pipes with black anticorrosive bitumastic paint of approved brand facture, over and including a priming of ready mixed zinc yellow primer on new work:",,,
13.55.1,100 mm diameter pipes,metre,63.15,
13.55.2,150 mm diameter pipes,metre,94.15,
13.56,"Painting (t and fitting manufact steel prim wo or more coats) on rain water, soil waste and vent pipes s with synthetic enamel paint of approved brand and ure and required colour over a priming coat of approved er on new work.",,,
13.56.1,100 mm diameter pipes,metre,69.00,
13.56.2,150 mm diameter pipes,metre,102.75,
13.57,Painting manufactu with oil type wood preservative of approved brand and re :,,,
13.57.1,New work (two or more coats),sqm,47.10,
,No.,,,
13.58,Providing wood / ply of base su the surfac and applying two coats of fire retardant paint on cleaned surface @ 3.5 sqm per litre per coat including preparation rface as per recommendations of manufacturer to make e fire retardant.,sqm,285.80,
13.59,Coal tarrin coal tar pe g two coats on new work using 0.16 Litre and 0.12 litre r sqm in the first coat and second coat respectively.,sqm,55.55,
13.60,Wall pain manufact ting with acrylic emulsion paint of approved brand and ure to give an even shade :,,,
13.60.1,Two or more coats on new work,sqm,137.85,
13.61,Painting manufact with synthetic enamel paint of approved brand and ure to give an even shade :,,,
13.61.1,Two or more coats on new work,sqm,131.45,
13.62,Painting manufact with synthetic enamel paint of approved brand and ure of required colour to give an even shade :,,,
13.62.1,Two or more coats on new work over an under coat of suitable shade with ordinary paint of approved brand and manufacture,sqm,191.40,
13.63,Painting w give an ev ith aluminium paint of approved brand and manufacture to en shade .,,,
13.63.1,Two or more coats on new work,sqm,121.45,
13.64,Painting w required c ith acid proof paint of approved brand and manufacture of olour to give an even shade :,,,
13.64.1,Two or more coats on new work,sqm,139.25,
13.65,Painting w and manu ith black anti-corrosive bitumastic paint of approved brand facture to give an even shade :,,,
13.65.1,Two or more coats on new work,sqm,115.10,
13.66,DELETED,,,
13.66.1,DELETED,,,
13.67,Varnishing with varnish of approved brand and manufacture :,,,
13.67.1,Two or more coats of glue sizing with copal varnish over an under coat of flatting varnish,sqm,197.40,
13.67.2,Two or more coats glue sizing with spar varnish or an under coat of flatting varnish,sqm,198.20,
13.68,French sp irit polishing :,,,
13.68.1,Two or more coats on new works including a coat of wood filler,sqm,368.30,
13.69,Polishing brand and on wood work with ready mixed wax polish of approved manufacture :,,,
13.69.1,New work,sqm,164.15,
,No.,,,
13.79,"Extra for 6 mm, effe to 1.40 in Polyester as per dire addition of synthetic Polyester triangular fibre of length ctive diameter 10-40 microns and specific gravity of 1.34 cement plaster/mortar by using 125 gms. of synthetic triangular fibre for 50 Kgs. cement used in cement mortar ctions of Engineer-in-Charge.",per bag of 50kg of cement,68.55,
13.80,"Providing 1 mm, of a surface to and applying white cement based putty of average thickness pproved brand and manufacturer, over the plastered wall prepare the surface even and smooth complete.",sqm,123.85,
13.81,"Distemper Organic C brand and required, t ing with 1st quality acrylic distemper, having VOC (Volatile ompound ) content less than 50 grams/ litre, of approved manufacture, including applying additional coats wherever o achieve even shade and colour.",,,
13.81.1,One coat,sqm,54.75,
13.81.2,Two coats,sqm,90.05,
13.82,"Wall painti Compoun manufactu to achieve ng with acrylic emulsion paint, having VOC (Volatile Organic d ) content less than 50 grams/ litre, of approved brand and re, including applying additional coats wherever required, even shade and colour.",,,
13.82.1,One coat,sqm,78.00,
13.82.2,Two coats,sqm,116.05,
13.83,"Wall paint having V grams/ litr additional ing with premium acrylic emulsion paint of interior grade, OC (Volatile Organic Compound ) content less than 50 e of approved brand and manufacture, including applying coats wherever required to achieve even shade and colour.",,,
13.83.1,One coat,sqm,80.25,
13.83.2,Two coats,sqm,121.55,
13.85,"Applying manufactu priming coats with primer of approved brand and re, having low VOC (Volatile Organic Compound ) content.",,,
13.85.1,With ready mixed pink or grey primer on wood work (hard and soft wood) having VOC content less than 50 grams/ litre,sqm,61.45,
13.85.3,With water thinnable cement primer on wall surface having VOC content less than 50 grams/litre,sqm,64.45,
13.86,6 mm pla work with approved ster on cement concrete or reinforced cement concrete white cement based polymer modified self curing mortar of make as per the direction of Engineer-In-Charge.,sqm,217.50,
13.87,White was hing with lime to give an even shade :,,,
13.87.1,Old work (two or more coats),sqm,19.00,
13.87.2,Old work (one or more coats),sqm,11.60,
13.88,Removing preparing t white or colour wash by scrapping and sand papering and he surface smooth including necessary repairs to scratches,,,
,etc. comp lete,sqm,16.35,
13.89,DELETED,,,
,No.,,,
13.90,Distempe VOC cont manufactu ring with 1st quality acrylic distember (Ready mix) having ent less than 50 grams/ litre of approved brand and re to give an even shade :,,,
13.90.1,Old work (one or more coats),sqm,56.80,
13.91,"Removing and the lik smooth in dry or oil bound distemper, water proofing cement paint e by scrapping, sand papering and preparing the surface cluding necessary repairs to scratches etc. complete.",sqm,20.85,
13.92,Painting o and manu n G.S. sheet with synthetic enamel paint of approved brand facture of required colour to give an even shade :,,,
13.92.1,Old work (one or more coats),sqm,77.20,
13.93,"Painting ( pipes and brand and mixed zin two or more coats) on rain water, soil, waste and vent fittings with black anticorrosive bitumastic paint of approved manufacture over and including a priming coat of ready c chromate yellow primer on new work :",,,
13.93.1,75 mm diameter pipes,metre,47.35,
13.94,"Painting (o and fittings and manu ne or more coats) on rain water, soil waste and vent pipes with black anticorrosive bitumastic paint of approved brand facture on old work :",,,
13.94.1,75 mm diameter pipes,metre,22.25,
13.94.2,100 mm diameter pipes,metre,29.40,
13.94.3,150 mm diameter pipes,metre,42.35,
13.95,"Painting (t and fitting over a pri new work wo or more coats) on rain water, soil waste and vent pipes s with aluminium paint of approved brand and manufacture ming coat of ready mixed zinc chromate yellow primer on :",,,
13.95.1,75 mm diameter pipes,metre,48.95,
13.95.2,100 mm diameter pipes,metre,67.70,
13.95.3,150 mm diameter pipes,metre,100.85,
13.96,"Painting (o and fitting manufact ne or more coats) on rain water, soil waste and vent pipes s with synthetic enamel paint of approved brand and ure and required colour on old work :",,,
13.96.1,75 mm diameter pipes,metre,23.50,
13.96.2,100 mm diameter pipes,metre,30.20,
13.96.3,150 mm diameter pipes,metre,43.45,
13.97,Painting manufactu with oil type wood preservative of approved brand and re:,,,
13.97.1,Old work (one or more coats),sqm,35.80,
13.98,Wall paint manufactu ing with plastic emulsion paint of approved brand and re to give an even shade:,,,
13.98.1,One or more coats on old work,sqm,90.85,
,No.,,,
13.99,Painting manufactu with synthetic enamel paint of approved brand and re of required colour to give an even shade :,,,
13.99.1,One or more coats on old work,sqm,86.55,
13.100,Painting w give an ev ith aluminium paint of approved brand and manufacture to en shade:,,,
13.100.1,One or more coats on old work,sqm,79.40,
13.101,Painting w required c ith acid proof paint of approved brand and manufacture of olour to give an even shade :,,,
13.101.1,One or more coats on old work,sqm,91.25,
13.102,Painting w and manu ith black anti-corrosive bitumastic paint of approved brand facture to give an even shade :,,,
13.102.1,One or more coats on old work,sqm,77.05,
13.103,French sp irit polishing :,,,
13.103.1,One or more coats on old work,sqm,185.40,
13.104,Polishing brand and on wood work with ready made wax polish of approved manufacture :,,,
13.104.1,Old work,sqm,82.95,
13.105,Re-letterin manufactu g with black Japan paint of approved brand and re.,per letter per cm height,3.20,
13.106,Painting (o brand and ne or more coats) with black Japan paint of approved manufacture to give an even shade.,sqm,78.60,
13.107,Providing sink or wa and fixing C.P. brass chain and rubber plug complete for sh basin:,,,
13.107.1,32 mm dia,each,76.40,
13.107.2,40 mm dia,each,76.40,
13.108,Distemper VOC cont of require specificati ing with 1st quality acrylic distemper (ready made) having ent less than 50 gm per ltr. of approved manufacturer and d shade and colour complete. as per manufacturer's on.,,,
13.108.1,One or more coats on old work,sqm,50.60,
13.109,Finishing walls with water proofing cement paint of required shade :,,,
13.109.1,Old work (one or more coats applied @ 2.20 kg/10 sqm) over priming coat of primer applied @ 0.80 litrs/10 sqm complete including cost of Priming coat.,sqm,94.15,
13.109.2,Old work (one or more coats @ 2.20 kg/10 sqm) complete.,sqm,63.25,
13.110,Finishing walls with textured exterior paint of required shade :,,,
13.110.1,Old work (Two or more coats on existing cement paint surface applied @ 3.28 ltr/10 sqm.,sqm,191.40,
13.110.2,Old work (One or more coats) applied @ 1.82 ltr/10 sqm.,sqm,118.85,
,"fVIi.kh %& ;s njsa] Hkwfe ry ls 10 ehVj dh ÅWpkbZ rd ckgjh iyLrj ds fy, gS] tc rd vU;Fkk mfYyf[kr u gksA lhesaV iyLrj ¼eghu jsr ls½",,,
13-1,12 feeh eksVk lhesaV&iyLrj,,,
,13-1-1 1%4 ¼1 lhesaV % 4 eghu jsr½ ds feJ.k ls,oxZ eh,294-85,
,13-1-2 1%6 ¼1 lhesaV % 6 eghu jsr½ ds feJ.k ls,oxZ eh,282-00,
13-2,"15 feeh eksVk lhesaV&iyLrj] ,d bZV ;k vk/kh bZV dh nhokj dh [kqjnjh rjQ%",,,
,13-2-1 1%4 ¼1 lhesaV % 4 eghu jsr½ ds feJ.k ls,oxZ eh,339-70,
