Item No.,Description,Unit,Rate,,
1882,1-5 ehVj yEcs 40 feeh O;kl ds LVsªuj czkl,izR;sd,625-00,,
1922,"15 feeh O;kl ds iksfyFkhu QyksVksa lfgr ,pih ;k ,yih xksy okYo",izR;sd,215-00,,
1923,"20 feeh O;kl ds iksfyFkhu QyksVksa lfgr ,pih ;k ,yih xksy okYo",izR;sd,240-00,,
1924,"25 feeh O;kl ds iksfyFkhu QyksVksa lfgr ,pih ;k ,yih xksy okYo",izR;sd,230-00,,
1926,20 feeh O;kl ?ku esVy xsV okYc pdjh lfgr,izR;sd,325-00,,
1927,"25 feeh O;kl ds <ys yksgs ds ifg, ¼pwMhnkj fljs okys½ lfgr ihry Qqy os okYo",izR;sd,375-00,,
1928,"32 feeh O;kl ds <ys yksgs ds ifg, ¼pwMhnkj fljs okys½ lfgr ihry Qqy os okYo",izR;sd,415-00,,
1929,"40 feeh O;kl ds <ys yksgs ds ifg, ¼pwMhnkj fljs okys½ lfgr ihry Qqy os okYo",izR;sd,500-00,,
1930,"50 feeh O;kl ds <ys yksgs ds ifg, ¼pwMhnkj fljs okys½ lfgr ihry Qqy os okYo",izR;sd,625-00,,
1931,"65 feeh O;kl ds <ys yksgs ds ifg, ¼pwMhnkj fljs okys½ lfgr ihry Qqy os okYo",izR;sd,1080-00,,
1932,"80 feeh O;kl ds <ys yksgs ds ifg, ¼pwMhnkj fljs okys½ lfgr ihry Qqy os okYo",izR;sd,1625-00,,
1933,25 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pwMhnkj fljs okyk½,izR;sd,350-00,,
1934,32 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pwMhnkj fljs okyk½,izR;sd,475-00,,
1935,40 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pwMhnkj fljs okyk½,izR;sd,575-00,,
1936,50 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pwMhnkj fljs okyk½,izR;sd,840-00,,
1937,65 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pwMhnkj fljs okyk½,izR;sd,1525-00,,
1938,80 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pwMhnkj fljs okyk½,izR;sd,2300-00,,
1940,100 feeh O;kl dk Js.kh&1 dk <ys yksgs dk lywbZl okYo ¼Vksfi;ksa lfgr½,izR;sd,2450-00,,
1941,125 feeh O;kl dk Js.kh&1 dk <ys yksgs dk lywbZl okYo ¼Vksfi;ksa lfgr½,izR;sd,2610-00,,
1942,150 feeh O;kl dk Js.kh&1 dk <ys yksgs dk lywbZl okYo ¼Vksfi;ksa lfgr½,izR;sd,3650-00,,
1943,200 feeh O;kl dk Js.kh&1 dk <ys yksgs dk lywbZl okYo ¼Vksfi;ksa lfgr½,izR;sd,7600-00,,
1944,250 feeh O;kl dk Js.kh&1 dk <ys yksgs dk lywbZl okYo ¼Vksfi;ksa lfgr½,izR;sd,10980-00,,
1945,300 feeh O;kl dk Js.kh&1 dk <ys yksgs dk lywbZl okYo ¼Vksfi;ksa lfgr½,izR;sd,15500-00,,
1956,"60 feeh yEcs 16 feeh O;kl ds cksYV ,oa uV",izR;sd,11-50,,
1957,"65 feeh yEcs 16 feeh O;kl ds cksYV ,oa uV",izR;sd,13-00,,
1958,"65 feeh yEcs 20 feeh O;kl ds cksYV ,oa uV",izR;sd,15-00,,
1959,"70 feeh yEcs 20 feeh O;kl ds cksYV ,oa uV",izR;sd,17-50,,
1960,"75 feeh yEcs 20 feeh O;kl ds cksYV ,oa uV",izR;sd,17-00,,
1961,"80 feeh yEcs 20 feeh O;kl ds cksYV ,oa uV",izR;sd,17-00,,
1962,"85 feeh yEcs 24 feeh O;kl ds cksYV ,oa uV",izR;sd,27-00,,
1963,"90 feeh yEcs 24 feeh O;kl ds cksYV ,oa uV",izR;sd,31-00,,
1964,"100 feeh yEcs 27 feeh O;kl ds cksYV ,oa uV",izR;sd,37-00,,
2271,100 feeh O;kl ds de ls de tLrh yksgs dh ikbZiksa dh <qykbZ,Vu,145-72,,
2272,LVsuysl bLikr ikbi 100 feeh O;kl ls de,Vu,145-72,,
2309,<ys yksgs dh tqMukjksa dh <qykbZ,Vu,145-72,,
2319,100 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,358-32,,
,,,01-04-2021 dks ;k mlls Bhd igys,,
2320,125 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,478-64,,
2321,150 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,597-20,,
2322,200 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,971-45,,
2323,250 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,1380-48,,
2324,300 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,1706-30,,
2325,350 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,2388-82,,
2326,400 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,3257-48,,
2327,450 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,3981-36,,
2328,500 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,3981-36,,
2329,600 feeh O;kl dh Liu yksgs dh ew’ky dksVj fljksa okyh ikbZiksa dh <qykbZ,100 ehVj,5972-04,,
2330,500 feeh O;kl ds <ys yksgs ikbZiksa dh <qykbZ,100 ehVj,3981-36,,
2331,900 feeh O;kl dh vkjlhlh ¼izcfyr lhesaV daØhV½ ikbZiksa dh <qykbZ,100 ehVj,8958-06,,
2332,1000 feeh O;kl dh izcfyr lhesaV daØhV ikbZiksa dh <qykbZ,100 ehVj,11944-08,,
2333,1100 feeh O;kl dh izcfyr lhesaV daØhV ikbZiksa dh <qykbZ,100 ehVj,11944-08,,
2334,1200 feeh O;kl dh izcfyr lhesaV daØhV ikbZiksa dh <qykbZ,100 ehVj,11944-08,,
2335,;equk jsr,?ku ehVj,163-93,,
2341,fix lhls dh <qykbZ,Vu,145-72,,
2343,100 feeh O;kl dh MDVkbZy yksgs dh ikbZiksa ¼ds&7½ dh <qykbZ,100 ehVj,358-32,,
2344,150 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,597-20,,
2345,200 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,971-45,,
2346,250 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,1380-48,,
2347,300 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,1706-30,,
2348,350 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,2388-82,,
2349,400 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,3257-48,,
2350,450 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,3981-36,,
2351,500 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,3981-36,,
2352,600 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,5972-04,,
2353,700 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,5972-04,,
2355,800 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,5972-04,,
2356,900 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,8958-06,,
2357,1000 feeh O;kl dh <ys yksgs dh ikbZiksa dh <qykbZ,100 ehVj,11944-08,,
3080,25 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pqMhnkj fljs okyk½,izR;sd,400-00,,
3084,32 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pqMhnkj fljs okyk½,izR;sd,550-00,,
3088,40 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pqMhnkj fljs okyk½,izR;sd,750-00,,
3092,50 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pqMhnkj fljs okyk½,izR;sd,950-00,,
3096,65 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pqMhnkj fljs okyk½,izR;sd,1550-00,,
3300,80 feeh O;kl dk xueSVy uku&fjVuZ okYo&{kSfrt ¼pqMhnkj fljs okyk½,izR;sd,2600-00,,
,,,01-04-2021 dks ;k mlls Bhd igys,,
3879 3880 3881 3882,"vkÃ,l 6911% 2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 42feehx22 feeh ckgjh O;k;l ,l,l ikbi ds fy, jsMîwlj vkÃ,l 6911% 2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 42feehx28feeh ckgjh O;k;l ,l,l ikbi ds fy, jsMîwlj vkÃ,l 6911% 2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 42feehx35feeh ckgjh O;k;l ,l,l ikbi ds fy, jsMîwlj vkÃ,l 6911% 2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 54feehx28feeh ckgjh O;k;l ,l,l ikbi ds fy, jsMîwlj Ã s S Ã s s",çR;sd çR;sd çR;sd çR;sd,605.00 690.00 720.00 835.00,,
3883 3884 3885,"vk,l 6911% 2017 d vuqlkj vkj ,u&10312 ekud d vuq:i xzM 316 ,y ds 54feehx35feeh ckgjh O;k;l ,l,l ikbi ds fy, jsMîwlj vkÃ,l 6911% 2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 54feehx42feeh ckgjh O;k;l ,l,l ikbi ds fy, jsMîwlj vkÃ ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 15 feeh ckgjh O;kl ,l,l ikbi dh Lyho@fLyi diÇyx@ l‚dsV",çR;sd çR;sd çR;sd,990.00 1030.00 375.00,,
3886,"vkÃ ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 22 feeh ckgjh O;kl ,l,l ikbi dh Lyho@fLyi diÇyx@ l‚dsV",çR;sd,450.00,,
3887,"vkÃ ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 28 feeh ckgjh O;kl ,l,l ikbi dh Lyho@fLyi diÇyx@ l‚dsV",çR;sd,520.00,,
3888,"vkÃ ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 35 feeh ckgjh O;kl ,l,l ikbi dh Lyho@fLyi diÇyx@ l‚dsV",çR;sd,580.00,,
3889,"vkÃ ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 42 feeh ckgjh O;kl ,l,l ikbi dh Lyho@fLyi diÇyx@ l‚dsV",çR;sd,670.00,,
3890,"vkÃ ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 54 feeh ckgjh O;kl ,l,l ikbi dh Lyho@fLyi diÇyx@ l‚dsV",çR;sd,955.00,,
3891,"vkÃ,l 6911%2017 ds vulkj vkSj Ã,u&10312 ekud ds vu:i xzsM",,,,
,"q q 316 ,y ds 15 feeh ckgjh O;kl ,l,l ikbi ds fy, ,Ycks 90<sup>0</sup>",çR;sd,305.00,,
3892,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 22 feeh ckgjh O;kl ,l,l ikbi ds fy, ,Ycks 90<sup>0</sup>",çR;sd,430.00,,
3893,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM s s s",s,,,
,"316 ,y d 28 feeh ckgjh O;kl ,l,l ikbi d fy, ,Yck 90<sup>0</sup> s S s s",çR;d,575.00,,
3894,"vkÃ,l 6911%2017 d vulkj vkj Ã,u&10312 ekud d vu:i xzM",,,,
,"q q 316 ,y ds 35 feeh ckgjh O;kl ,l,l ikbi ds fy, ,Ycks 90<sup>0</sup>",çR;sd,940.00,,
3895,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM",,,,
,"316 ,y ds 42 feeh ckgjh O;kl ,l,l ikbi ds fy, ,Ycks 90<sup>0</sup> s S s s",çR;sd,1520.00,,
3896,"vkÃ,l 6911%2017 d vuqlkj vkj Ã,u&10312 ekud d vuq:i xzM s s s",s,,,
,"316 ,y d 54 feeh ckgjh O;kl ,l,l ikbi d fy, ,Yck 90<sup>0</sup>",çR;d,2010.00,,
3897,"vkÃ,l 6911% 2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM 316 ,y ds 15 feeh ckgjh O;kl ,l,l ikbi ds fy, leku Vh",çR;sd,500.00,,
3898,"vkÃ,l 6911% 2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i xzsM s s",s,,,
,"316 ,y d 22 feeh ckgjh O;kl ,l,l ikbi d fy, leku Vh s S s s",çR;d,585.00,,
3899,"vkÃ,l 6911% 2017 d vulkj vkj Ã,u&10312 ekud d vu:i xzM",,,,
,"q q 316 ,y ds 28 feeh ckgjh O;kl ,l,l ikbi ds fy, leku Vh",çR;sd,720.00,,
,,,01-04-2021,,
,,,dks ;k mlls Bhd igys,,
3964,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 22 feeh ckgjh O;klx3@4Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l esy ;wfu;u",çR;sd,1025.00,,
3965,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 28 feeh ckgjh O;klx1Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l esy ;wfu;u",çR;sd,1805.00,,
3966,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 35 feeh ckgjh O;klx1&1@4Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l esy ;wfu;u",çR;sd,1885.00,,
3967,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 42 feeh ckgjh O;klx1&1@2Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l esy ;wfu;u",çR;sd,2130.00,,
3968,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 54 feeh ckgjh O;klx2Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l esy ;wfu;u",çR;sd,3680.00,,
3969,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 22 feeh ckgjh O;klx3@4Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l Qhesy ;wfu;u",çR;sd,950.00,,
3970,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 28 feeh ckgjh O;klx3@4Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l Qhesy ;wfu;u",çR;sd,1280.00,,
3971,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 15 feeh ckgjh O;klx1@2 Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l Qhesy Vªft+'ku ,Ycks@ ,QVhÃ",çR;sd,649.00,,
3972,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 22 feeh ckgjh O;klx1@2 Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l Qhesy Vªft+'ku ,Ycks@ ,QVhÃ",çR;sd,900.00,,
3973,"vkÃ,l 6911%2017 ds vuqlkj vkSj Ã,u&10312 ekud ds vuq:i 15 feeh ckgjh O;klx3@4 Þ U;wure O;kl] 316 ,y xzsM esa FkzsM fd;k x;k] ds fy, ,l,l Qhesy Vªft+'ku ,Ycks@ ,QVhÃ",çR;sd,870.00,,
6501,jsr ¼;equk½ {ks= 5,?ku eh-,1300-00,,
7257,15 feeh O;kl dh Øksfe;e&;qDr ihry fcc VksaVh,izR;sd,300-00,,
7258,15 feeh O;kl dh Øksfe;e&;qDr ihry dh yEch ukst fcc VksaVh,izR;sd,500-00,,
7259,15 feeh O;kl dh Øksfe;e&;qDr ihry dh ykax okMh fcc VksaVh,izR;sd,500-00,,
7260,15 feeh O;kl dh Øksfe;e&;qDr ihry dh jksd VksaVh ¼dulhyM½,izR;sd,420-00,,
7261,"15 feeh O;kl dh Øksfe;e&;qDr ,axy&okYo",izR;sd,350-00,,
7400,"15 feeh O;kl dh ihVh,eVh fcc VksaVh",izR;sd,65-00,,
7401,"15 feeh O;kl dh Qysat lfgr ihVh,eVh fcc VksaVh ¼Qsalh½",izR;sd,90-00,,
7402,"15 feeh O;kl dh Qysat lfgr yEch okMh ihVh,eVh fcc VksaVh",izR;sd,100-00,,
7403,"15 feeh O;kl dh ihVh,eVh jksd VksaVh ¼esy FkzsM½",izR;sd,60-00,,
7405,"20 feeh O;kl dh ihVh,eVh jksd VksaVh",izR;sd,68-00,,
7406,"ihVh,eVh LrEHk VksaVh",izR;sd,115-00,,
,,,01-04-2021 dks ;k mlls Bhd igys,,
7407,"15 feeh O;kl dh ihVh,eVh iq”k&VksaVh",izR;sd,55-00,,
7408,"12 feeh O;kl dh 20 feeh ch,lih ihVh,eVh iq”k&VksaVh",izR;sd,45-00,,
7409,"100 feeh O;kl dh ihVh,eVh xzsfVax",izR;sd,16-00,,
7410,"15 feeh Qkse ¶yks okyh ihVh,eVh LrEHk VksaVh ¼QSalh½",izR;sd,125-00,,
7411,os’V fNnz lfgr 125 feeh O;kl dh xzsfVax,izR;sd,25-00,,
7412,100 feeh O;kl lfgr ¼110 xzke½ 18 feeh Åaps vkdkj dh 150 feeh O;kl dh vko‘r ;ksX; ldqyZj fyM lfgr vk;rkdkj Js.kh dh,izR;sd,118-00,,
7415,"50 feeh O;kl dk Mcy ,fDVax ok;q okYo",izR;sd,3715-00,,
7416,"80 feeh O;kl dk Mcy ,fDVax ok;q okYo",izR;sd,4525-00,,
7417,"100 feeh O;kl dk Mcy ,fDVax ok;q okYo",izR;sd,5910-00,,
7418,80 feeh O;kl dh ty ehVj ¼ijh{k.k izHkkjksa lfgr½,izR;sd,2030-00,,
7419,100 feeh O;kl dh ty ehVj ¼ijh{k.k izHkkjksa lfgr½,izR;sd,3143-00,,
7420,150 feeh O;kl dh ty ehVj ¼ijh{k.k izHkkjksa lfgr½,izR;sd,4765-00,,
7421,200 feeh O;kl dh ty ehVj ¼ijh{k.k izHkkjksa lfgr½,izR;sd,5145-00,,
7422,80 feeh O;kl dk MVZ cDl ljsuj,izR;sd,2680-00,,
7423,100 feeh O;kl dk MVZ cDl ljsuj,izR;sd,4370-00,,
7424,150 feeh O;kl dk MVZ cDl ljsuj,izR;sd,5540-00,,
7425,200 feeh O;kl dk MVZ cDl ljsuj,izR;sd,7860-00,,
7495,"bikDlh foysfir ,yqfefu;e lM+d ,oa ,pMh cky lfgr 15 feeh O;kl dh ihVh,eVh xksy VksaVh laiw.kZ",izR;sd,75-00,,
7496,"bikDlh foysfir ,yqfefu;e lM+d ,oa ,pMh cky lfgr 20 feeh O;kl dh ihVh,eVh xksy VksaVh laiw.kZ",izR;sd,110-00,,
7497,"bikDlh foysfir ,yqfefu;e lM+d ,oa ,pMh cky lfgr 25 feeh O;kl dh ihVh,eVh xksy VksaVh laiw.kZ",izR;sd,275-00,,
7498,"bikDlh foysfir ,yqfefu;e lM+d ,oa ,pMh cky lfgr 40 feeh O;kl dh ihVh,eVh xksy VksaVh laiw.kZ",izR;sd,420-00,,
7499,"bikDlh foysfir ,yqfefu;e lM+d ,oa ,pMh cky lfgr 50 feeh O;kl dh ihVh,eVh xksy VksaVh laiw.kZ",izR;sd,820-00,,
7500,"15 feeh O;kl ds dksjnkj lfgr dks.kh; ¼,axy½ ihVh,eVh jksd VksaVh",izR;sd,85-00,,
7501,"15 feeh O;kl ds ihVh,eVh lokbZofyax “kkoj",izR;sd,65-00,,
7509,"138x102x75 feeh dk ihVh,eVh lkoqu fM”k/gksYMj",izR;sd,58-00,,
7651,"100 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,765-00,,
7652,"150 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,1150-00,,
7653,"200 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,1575-00,,
7654,"250 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,2200-00,,
7655,"300 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,2750-00,,
7656,"350 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,3550-00,,
7657,"400 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,4300-00,,
7658,"450 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,5000-00,,
,,,01-04-2021 dks ;k mlls Bhd igys,,
7659,"500 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,6270-00,,
7660,"600 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,7560-00,,
7661,Hkk- ek- 8329 ds vuq:i Js.kh ds & 9 rU; yksgs ds uy 700 feeh O;kl okys,ehVj,10500-00,,
7662,"750 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,11350-00,,
7663,"800 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,11450-00,,
7664,"900 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,13900-00,,
7665,"1000 feeh O;kl dh vkbZ,l 8329 ds vuq#i Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,15550-00,,
7666,"100 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,29-00,,
7668,"150 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,33-00,,
7669,"200 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,60-00,,
7670,"250 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,70-00,,
7671,"300 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,100-00,,
7672,"350 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,116-00,,
7673,"400 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,210-00,,
7674,"450 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,250-00,,
7675,"500 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,270-00,,
7676,"600 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,356-00,,
7677,"700 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,510-00,,
7678,"750 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,600-00,,
7679,"800 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,705-00,,
7680,"900 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,910-00,,
7681,"1000 feeh O;kl dh ,lchvkj xq.koRrk dh vkbZ,l 5382 ds vuq#i jcM+ xkLdV",izR;sd,1080-00,,
7682,600 feeh O;kl rd ds tksM+ rd /kdsyus gsrq mi;qDr] Hkaxqj yksgs ds Js.kh ds&12 ds fo”ks’k,fDoaVy,12400-00,,
7683,600 feeh O;kl ls Åij ds tksM+ rd /kdsyus gsrq mi;qDr] Hkaxqj yksgs ds Js.kh ds&12 ds fo”ks’k,fDoaVy,17200-00,,
7684,"600 feeh O;kl rd vkbZ,l 9523 ds vuq#i ;kaf=d tksM+ gsrq mi;qDr] Hkaxqj yksgs ds fo”ks’k",fDoaVy,13050-00,,
7685,"600 feeh O;kl ls Åij vkbZ,l 9523 ds vuq#i ;kaf=d tksM+ gsrq mi;qDr] a",a,,,
,Hkxj yksgs ds fo”ks’k,fDoVy,18750-00,,
7686,"q 100 feeh O;kl dh dksjnkj ,oa csfYaMx okyh Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,1100-00,,
7687,"150 feeh O;kl dh dksjnkj ,oa csfYaMx okyh Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,1650-00,,
7688,"200 feeh O;kl dh dksjnkj ,oa csfYaMx okyh Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,2075-00,,
7689,"250 feeh O;kl dh dksjnkj ,oa csfYaMx okyh Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,2950-00,,
7690,"300 feeh O;kl dh dksjnkj ,oa csfYaMx okyh Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,3790-00,,
7691,"350 feeh O;kl dh dksjnkj ,oa csfYaMx okyh Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,4780-00,,
7692,"400 feeh O;kl dh dksjnkj ,oa csfYaMx okyh Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,6150-00,,
7693,"450 feeh O;kl dh dksjnkj ,oa csfYaMx okyh Js.kh ds&9 dh Hkaxqj yksgs dh ikbZi",ehVj,6453-00,,
,,,01-04-2021 dks ;k mlls Bhd igys,,
7721,"600 feeh O;kl dh vkbZ,l&1536 ds vuq#i Js.kh & ch dh pqMhnkj nksuksa rjQ dksjnkj fljksa okyh vidsanzr;k <ys ¼Hkzfe fof/k ls½ yksgs dh ikbZi",ehVj,17905-00,,
