0652,"tkfjr uje bLikr ds ,d rjQh fØ;k okys dekuhnkj dCts ¼100 fe-eh-½ izR;sd 100.00",,,,,
0653,tkfjr uje bLikr ds nqrjQh fØ;k okys dekuhnkj dCts ¼150 fe-eh-½ izR;sd 160.00,,,,,
0654,tkfjr uje bLikr ds nqrjQh fØ;k okys dekuhnkj dCts ¼125 fe-eh-½ izR;sd 140.00,,,,,
0655,tkfjr uje bLikr ds nqrjQh fØ;k okys dekuhnkj dCts ¼100 fe-eh-½ izR;sd 120.00,,,,,
0656,tkfjr uje bLikr ds fi;kuks dCts fudy dybZ ;qDr 1 fe-eh- eksVs 35 fe-eh- pkSMs ehVj 40.00,,,,,
0660,"tkfjr uje bLikr dh vxZyk,a ¼300× 16 fe-eh-½ izR;sd 90.00",,,,,
0661,"tkfjr uje bLikr dh vxZyk,a ¼250× 16 fe-eh-½ izR;sd 80.00",,,,,
0662,tkfjr uje bLikr dh }kj yXxh ¼300× 20× 6 fe-eh-½ izR;sd 49.00,,,,,
0663,tkfjr uje bLikr dh }kj yXxh ¼250× 20× 6 fe-eh-½ izR;sd 39.00,,,,,
0664,tkfjr uje bLikr dh pV[kfu;k¡ ¼ukyokyh½ 250× 10 fe-eh- izR;sd 43.00,,,,,
0665,tkfjr uje bLikr dh pV[kfu;k¡ ¼ukyokyh½ 200× 10 fe-eh- izR;sd 34.00,,,,,
0666,tkfjr uje bLikr dh pV[kfu;k¡ ¼ukyokyh½ 150× 10 fe-eh- izR;sd 29.00,,,,,
0667,tkfjr uje bLikr dh pV[kfu;k¡ ¼ukyokyh½ 100× 10 fe-eh- izR;sd 20.00,,,,,
0668,tkfjr uje bLikr dh ewBsa 125 fe-eh- izR;sd 20.00,,,,,
0669,tkfjr uje bLikr dh ewBsa 100 fe-eh- izR;sd 15.00,,,,,
0670,tkfjr uje bLikr dh ewBsa 75 fe-eh- izR;sd 12.00,,,,,
0679,tkfjr uje bLikr ds Nids dq.Ms ¼lqj{kk okys½ 150 fe-eh- nl ux 128.00,,,,,
0680,tkfjr uje bLikr ds Nids dq.Ms ¼lqj{kk okys½ 115 fe-eh- nl ux 108.00,,,,,
0681,tkfjr uje bLikr ds Nids dq.Ms ¼lqj{kk okys½ 90 fe-eh- nl ux 79.00,,,,,
0682,tkfjr uje bLikr ds isap 50 fe-eh- lkS ux 76.00,,,,,
0683,tkfjr uje bLikr ds isap 40 fe-eh- lkS ux 62.00,,,,,
0684,tkfjr uje bLikr ds isap 30 fe-eh- lkS ux 49.00,,,,,
0685,tkfjr uje bLikr ds isap 25 fe-eh- lkS ux 36.00,,,,,
0686,tkfjr uje bLikr ds isap 20 fe-eh- lkS ux 32.00,,,,,
0687,",uksMkbt gq, ,Y;qehfu;e ds lVs dCts 125× 75× 4 fe-eh- nl ux 560.00",,,,,
0688,",uksMkbt gq, ,Y;qehfu;e ds lVs dCts 125× 63× 4 fe-eh- nl ux 393.00",,,,,
0689,",uksMkbt gq, ,Y;qehfu;e ds lVs dCts 100× 75× 4 fe-eh- nl ux 393.00",,,,,
0690,",uksMkbt gq, ,Y;qehfu;e ds lVs dCts 100× 63× 3-2 fe-eh- nl ux 270.00",,,,,
0691,",uksMkbt gq, ,Y;qehfu;e ds lVs dCts 100× 63× 4 fe-eh- nl ux 324.00",,,,,
0692,",uksMkbt gq, ,Y;qehfu;e ds lVs dCts 75× 63× 4 fe-eh- nl ux 275.00",,,,,
,,01-,04-2021,,,
,,dks Bh,;k mlls d igys,,,
0693,",uksMkbt gq, ,Y;qehfu;e ds lVs dCts 75× 63× 3-2 fe-eh-",nl ux,226.00,,,
0694,",uksMkbt gq, ,Y;qehfu;e ds lVs dCts 75× 45× 3-2 fe-eh-",nl ux,196.00,,,
0696,",uksMkbt gq, ,Y;qehfu;e dh vxZyk,a 300× 16 fe-eh-",izR;sd,147.00,,,
0697,",uksMkbt gq, ,Y;qehfu;e dh vxZyk,a 250× 16 fe-eh-",izR;sd,128.00,,,
0698,",uksMkbt gq, ,Y;qehfu;e dh pV[kfu;k¡ ¼ukyokyh½ 300× 10 fe-eh-",nl ux,580.00,,,
0699,",uksMkbt gq, ,Y;qehfu;e dh pV[kfu;k¡ ¼ukyokyh½ 250× 10 fe-eh-",nl ux,481.00,,,
0700,",uksMkbt gq, ,Y;qehfu;e dh pV[kfu;k¡ ¼ukyokyh½ 200× 10 fe-eh-",nl ux,383.00,,,
0701,",uksMkbt gq, ,Y;qehfu;e dh pV[kfu;k¡ ¼ukyokyh½ 150× 10 fe-eh-",nl ux,304.00,,,
0702,",uksMkbt gq, ,Y;qehfu;e dh pV[kfu;k¡ ¼ukyokyh½ 100× 10 fe-eh-",nl ux,226.00,,,
0703,",uksMkbt gq, ,Y;qehfu;e dh ewBsa 175× 32 fe-eh- iêh lfgr 125 fe-eh- dh",nl ux,324.00,,,
0704,",uksMkbt gq, ,Y;qehfu;e dh ewBsa 150× 32 fe-eh- iêh lfgr 100 fe-eh- dh",nl ux,275.00,,,
0705,",uksMkbt gq, ,Y;qehfu;e dh ewBsa 125× 32 fe-eh- iêh lfgr 75 fe-eh- dh",nl ux,231.00,,,
0706,",uksMkbt gq, ,Y;qehfu;e dh 50 lsa eh- yEch 100× 3-15 fe-eh- Bksdj IysV",izR;sd,142.00,,,
0713,likV fdokM] CykWd CkksMZ ls Ckus nksuks vksj lkxkSu dh ydMh dh ijr okys 35 fe-eh- eksVs,oxZ eh-,1800.00,,,
0714,likV fdokM] CykWd CkksMZ ls Ckus nksuks vksj lkxkSu dh ydMh dh ijr okys 30 fe-eh- eksVs,oxZ eh-,1600.00,,,
0715,likV fdokM] CykWd CkksMZ ls Ckus nksuks vksj lkxkSu dh ydMh dh ijr okys 25 fe-eh- eksVs,oxZ eh-,1400.00,,,
0717,likV fdokM] CykWd CkksMZ ls Ckus nksuks vksj O;kolkf;d ydMh dh ijr okys 35 fe-eh- eksVs,oxZ eh-,1000.00,,,
0718,likV fdokM] CykWd CkksMZ ls Ckus nksuks vksj O;kolkf;d ydMh dh ijr okys 30 fe-eh- eksVs,oxZ eh-,900.00,,,
0719,likV fdokM] CykWd CkksMZ ls Ckus nksuks vksj O;kolkf;d ydMh dh ijr okys 25 fe-eh- eksVs,oxZ eh-,890.00,,,
0752,CykWd CkksMZ ls Ckus likV fdokMksa ds fdukjksa dh 25 fe-eh- eksVkbZ dh eq[kkbZ,}kj {ks=Qy dk izfroxZ eh-,300.00,,,
0753,CykWd CkksMZ ls Ckus likV fdokMksa ds oxkZdkj n”kZ eks[kk 0-10 oxZ eh- ls,}kj {ks=Qy,,,,
,vf/kd uk gks,dk izfroxZ eh-,130.00,,,
0754,CykWd CkksMZ ls Ckus lkikV fdokMksa ds xksykdkj n”kZ eks[kk ¼0-10 oxZ eh- rd½,}kj {ks=Qy dk izfroxZ eh-,135.00,,,
0755,CykWd CkksMZ ls Ckus likV esa ltkoVh izdkj dh f>yfeysa ¼0-20 oxZ eh- rd½,}kj {ks=Qy dk izfroxZ eh-,265.00,,,
0757,CykWd CkksMZ ls Ckus likV fdokMksa esa irkxk dkVuk,}kj {ks=Qy,,,,
,,dk izfroxZ eh-,70.00,,,
0759,LktkokVh IykbZoqM 4 fe-eh-,oxZ eh-,320.00,,,
0763,Ljsl,fdyksxzke,75.00,,,
0834,"dkys ;k pkdysV ds vfrfjDr vU; lHkh jaxks esa flaFksfVd ,uSey jksxu",yhVj,165.00,,,
0869,IykLVj vkWQ isfjl,fdyksxzke,5.00,,,
1003,uje bLikr lfj;s 12 fe- eh- ls vf/kd O;kl okys,fDoaVy,4750.00,,,
,,01-,04-2021,,,
,,dks Bh,;k mlls d igys,,,
1008,ifRr;k¡ 10 fe- eh- rd eksVh,fDoaVy,4850.00,,,
1015,uje bLikr dhs 20× 60 fe- eh- Nsnksa okyh,oxZ eh-,280.00,,,
1021,dBksj df’kZr bLikr dhs rkj tkYkh 75×25 fe-eh- ftldk Hkkj 7-75 fd0 xzke izfr oxZ ehVj ls de uk gks,oxZ eh-,430.00,,,
1022,tLrh bLikr ds xksy [kkusnkj eRFks okys 6 fe- eh- O;kl ds 25 fe- eh- yEcs dkCkys vkSj f<cfj;k¡,nl ux,38.00,,,
1189,f}rh; Js.kh lkxkSu dh ydMh ¼QÍh½,10 ?ku Ms-eh-,776.00,,,
1190,f}rh; Js.kh lkxkSu dh ydMh ds r[rs,10 ?ku Ms-eh-,791.00,,,
1199,lky dh ydMh ¼QÍh½,10 ?ku Ms-eh-,600.00,,,
1200,"HkV~Vh la”kksf’kr pqus gq, “kh”ke dh ydM+h ds r[rs",10 ?ku Mslheh-,650.00,,,
1211,"lhe cksYV ds fy, tLrh yksgs ds lkns ok”kj",lkS ux,32.00,,,
1231,"f}rh; Js.kh dh lkxkSu dh ydM+h ds izoj r[rksa ds fy, vfrfjDr Hkqxrku",10 ?ku Ms-eh-,150.00,,,
1238,"izFke Js.kh dh lkxkSu dh ydM+h ds izoj r[rksa ds fy, vfrfjDr Hkqxrku",10 ?ku Ms-eh-,150.00,,,
2204,ydM+h dh <qykbZ,?ku eh-,187.35,,,
2205,bLikr dh <qykbZ,Vu,145.72,,,
2206,40 fe-eh- ukeh; vkdkj ls Åij dk iRFkj feykok dh <qykbZ,?ku eh-,178-19,,,
2207,VkbZy bZaVsa dh <qykbZ,1000 ux,262-29,,,
2406,¶yksV dkap dh pknj 4 feeh ukeh; eksVh ¼10 fdxzk@oxZ eh ls vU;wu Hkkj okyksa½,oxZ eh-,309.00,,,
2407,¶yksV dkap dh pknj 5-5 feeh ukeh; eksVh ¼13-50 fdxzk@oxZ eh ls,,,,,
,U H h,Z h,,,,
,v;wu kkj oky½,ox e-,515.00,,,
2412,nksuksa rjQ O;koLkkf;d IykbZ okyh 5 IykbZ dh 6 feeh eksVh IykbZ oqM,oxZ eh-,306.00,,,
2413,12 feeh- O;kolkf;d IykbZ,oxZ eh-,510.00,,,
2414,nksuksa rjQ eqYyek p<+k def”kZ;y IykbZ ds lkFk 18 fe-eh- eksVk CykWd cksMZ,oxZ eh-,775-00,,,
2449,85× 42 fe-eh uki dk tkfjr e‘nq bLikr dk f[kapko dkcyk ¼ykWfdx cksYV½ isap dkCkys f<+Ckjh vkSj ok”kj lfgr laEiw.kZ,izR;sd,62.00,,,
2451,vYekfj;ks dk 6 yhoj okyk vuqeksfnr dksfV dk loksZŸke ihry dk rkyk 40 feehs uki dk,izR;sd,57.00,,,
2452,vYekfj;ksa dk 6 yhoj okyk vuqeksfnr dksfV dk loksZŸke ihry dk rkyk 50 feeh uki dk,izR;sd,88.00,,,
2453,vYekfj;ksa dk 6 yhoj okyk vuqeksfnr dksfV dk loksZŸke ihry dk rkyk 65 feeh uki dk,izR;sd,93.00,,,
2454,vYekfj;ksa dk 6 yhoj okyk vuqeksfnr dksfV dk loksZŸke ihry dk rkyk 75 feeh uki dk,izR;sd,108.00,,,
2455,ihry dh Åij Vaxh izdkj dh }kj vM+kuh 150 fe-eh,izR;sd,77.00,,,
2456,vko”;d milk/kuksa vkSj ispksa lfgr cksry Vkbi gkbMªksfyd }kj laoj.k] uje bLikr dh ckWMh,izR;sd,686.00,,,
2459,",uksMkbTM gq, ,Y;qehfu;e dh Åij VaXkh izdkj dh }kj vM+kuh",izR;sd,20.00,,,
2464,"85 fe- eh-× 42 fe- eh- uki dk ,uksMkbTM ,Y;qehfu;e dk f[kapko dkCkyk",,,,,
,rkyk ¼ykWfdx cksYV½ isap dkCkys f<+Ckjh vkSj ok”kj lfgr laEiw.kZ,izR;sd,48.00,,,
2465,",uksMkbTM ,Y;qehfu;e dh f[kM+dh LFkki 250 fe- eh-",izR;sd,33.00,,,
2466,gkWYkdoqM ¼Qêh½,10 ?ku Ms-eh-,357.00,,,
,,01-04-2021 dks ;k mlls Bhd igys,,,,
7137,"dkj[kkus esa fufeZr Vh- ,- Mh- ,lIS% 1995 ds vuqlkj iVfyr vkLrj.k ydM+h ds fnYgs vkSj 12 feeh eksVs lkns xzsM&1] e/;e /kuRo likV ncs rhu ijr okys vkSj Hkk- ek- 3087& ds vuq:i vuqikfrr ikfVZdy CkksMZ ¼,Q- ih- Vh- 1½ tks Hkk- ek- 848& ds vuq:i ch MCY;w ih Vkbi laf”y’V jky vklatd ls tdM+sa gq, gks% 35 feeh eksVs fdokM+",oxZ eh- 1620-00,,,,
7139,"dkj[kkus esa fufeZr Vh- ,- Mh- ,lIS% 1995 ds vuqlkj iVfyr vkLrj.k ydM+h okys mnxz ifjdk okyh jsy okys vkSj 12 feeh eksVs ,d vksj ls iwoZiVfyr Vkbi &1] e/;e /kuRo likV ncs] rhu ijr okys vkSj Hkk- ek- 3087& ds vuq:i vuqikfrr ikfVZdy CkksMZ ¼,Q- ih- Vh- 1½ tks Hkk- ek- 848& ds vuq:i ch MCY;w ih Vkbi laf”y’V jky vklatd ls tdM+sa gq, gks% 35 feeh eksVs fdokM+",oxZ eh- 1720-00,,,,
7143,"dkj[kkus esa fufeZr Vh- ,- Mh- ,l 15% 1995 ds vuqlkj iVfyr vkLrj.k ydM+h okys mnxz ifjdk okyh jsy vkSj 12 feeh eksVs ,d vksj ls iwoZiVfyr ,oa nwljh rjQ larqfyr iVyu xzsM&1] e/;e /kuRo likV ncs rhu ijr okys vkSj Hkk- ek- 3087 ds vuq:i ch MCY;w ih Vkbi laf”y’V jky vklatd ls tdM+sa gq, gks% 35 feeh eksVs fdokM+",oxZ eh- 1910-00,,,,
7151,"dkj[kkus esa fufeZr Vh- ,- Mh- ,l 15% 1995 ds vuqlkj iVfyr vkSj vkLrj.k ydM+h okys fnYgs vkSj 10 fØxkz@oxZ eh ds dkap “kh”kk Qydksa dk iz;ksx djrs gq, “kh”ks dh pknj ds isuy okys 30 feeh eksVs fdokM",oxZ eh- 1620-00,,,,
7154,"dkj[kkus esa fufeZr Vh- ,- Mh- ,l 15% 1995 ds vuqlkj iVfyr vkSj vkLrj.k ydM+h okys fnYgs vkSj 0-63 fe eh O;kl dh rkj dh tLrh rkj tkyh ftlds Nsnksa dh vkSlr pkSM+kbZ nksuksa fn”kkvksa esa 1-4 fe eh gksa] okys 35 fe eh eksVs fdokM",oxZ eh- 1620-00,,,,
7155,"dkj[kkus esa fufeZr Vh- ,- Mh- ,l 15% 1995 ds vuqlkj iVfyr vkSj vLrj.k ydM+h okys fnYgs vkSj 0-63 fe eh O;kl dh rkj dh tLrh rkj tkyh ftlds Nsnksa dh vkSlr pkSM+kbZ nksuksa fn”kkvksa esa 1-4 fe eh gksa okys 30 fe eh eksVs fdokM",oxZ eh- 1430-00,,,,
7157,"njokts vkSj f[kM+dh ds <k¡pks esa Vh- ,- Mh- ,l 15% 1995 ds vuqlkj iVfyr vkLrj.k ydMh ds fnYgsa",10 ?ku Ms-eh- 700-00,,,,
7184,"njokts ds fy, tkfjr uje bLikr dh lqj{kk tathj ¼450 xzke ls vU;wu Hkkj okyh½",izR;sd 57-00,,,,
7269,25 fe eh eksVk ikfVZdy cksM+Z,oxZ eh- 435-00,,,,
7271,f}rh; Js.kh dh lkxkSu ydMh ls 25 feeh pkSMh x 12 feeh eksVh eq[kkbZ,ehVj 28-00,,,,
7272,25 feeh eksVk eSykekbu Qsl okyk 3 ijrh iwoZ iVfyr ikfVZdy cksMZ,oxZ eh- 900-00,,,,
7307,"likV njoktk fdokM ds fy, ¼vfrfjDr Hkqxrku½ O;kolkf;d vkLrj.k ds ctk; ,d rjQ lkxkSu vkLrj.k ds fy,",oxZ eh- 305-00,,,,
7312,IykfLVd Lyho vkSj uje bLikr isapks lfgr foLrkj.kh; ca/kd 25 fe- eh- yack,izR;sd 10.00,,,,
7313,IykfLVd Lyho vkSj uje bLikr isapks lfgr foLrkj.kh; ca/kd 32 fe- eh- yack,izR;sd 10.00,,,,
7314,IykfLVd Lyho vkSj uje bLikr isapks lfgr foLrkj.kh; ca/kd 40 fe- eh- yack,izR;sd 13.00,,,,
,,,01-04-2021 dks ;k mlls Bhd igys,,,
7315,IykfLVd Lyho vkSj uje bLikr isapks lfgr foLrkj.kh; ca/kd 50 fe- eh- yack,izR;sd,14.00,,,
7349,uje bLikr dh *;w* xksVu 12 fe- eh-,ehVj,14.00,,,
7366,"12-5 fe eh eksVk dkap iVfyr ftIle ¼th vkj th½ IykLVj cksMZ ¼vkbZ-,l- 2095 [k.M&3 % 1996½",oxZ eh-,240.00,,,
7367,50x32 fe- eh- vkdkj dh 0-5 fe- eh- eksVh tLrh uje bLikr pknj nkfcr ukyh nkj dkV,ehVj,60.00,,,
7369,48 x34x36 fe- eh- 0-5 fe- eh- eksVh tLrh uje bLikr pknj nkfcr LVM,ehVj,70.00,,,
7388,12-5 feeh- O;kl ds ]50 feeh- yacs MSl tdM+ ca/kd 6 feeh- O;kl ds dkcyk lfgr,izR;sd,10.00,,,
7390,"fuvksfizu@bZ-ih-Mh-,e jcM+ xSLdsV",ehVj,15.00,,,
7443,"30x 32 x 3 fe- eh- vkdkj ds ,Y;qfefu;e ds ,dy xqVds",izR;sd,14.00,,,
7444,"50x 12 x 2 fe- eh- vkdkj ds ,Y;qfefu;e dh idM+ ifŸk;ka",izR;sd,11.00,,,
7445,nksuksa vksj ls ltkoV okys iwoZ iVfyV 25 fe- eh- eksVs likV njokts,oxZ eh-,800.00,,,
7449,",yqfefu;e dh *;w* xksVu",fd- xzk-,210.00,,,
7451,Xykl “khV ¼fiu gsMsM½ 4 fe- eh- eksVh,oxZ eh-,345.00,,,
7468,12 feeh eksVk i‘’Bkojf.kr d.k cksMZ nksuksa rjQ O;kolkf;d i‘’Bkoj.k okyk,oxZ eh-,480.00,,,
7477,"12 feeh eksVk ,d vksj ls ltkoVh vkSj nwljh vksj ls larqfyr iVyu okyk iwoZ iVfyr xzsM 1 Vkbi&II ikfVZdy cksMZ] ¼e/;e ?kuRo½ likV nck] rhu ijr okyk vkSj Hkk- ek- 12823 ¼,DlVhjh;j xzsM½ ds vuq:i",oxZ eh-,500-00,,,
7478,"18 feeh eksVk ,d vksj ls ltkoVh vkSj nwljh vksj ls larqfyr iVyu okyk iwoZ iVfyr xzsM 1 Vkbi&II ikfVZdy cksMZ] ¼e/;e ?kuRo½ likV nck] rhu ijr okyk vkSj Hkk- ek- 12823 ¼,DlVhjh;j xzsM½ ds vuq:i",oxZ eh-,560-00,,,
7479,"25 feeh eksVk ,d vksj ls ltkoVh vksj nwljh vksj ls larqfyr iVyu okyk iwoZ iVfyr xzsM 1 Vkbi&IIikfVZdy cksMZ] ¼e/;e ?kuRo½ likV nck] rhu ijr okyk vkSj Hkk- ek- 12823 ¼,DlVhjh;j xzsM½ ds vuq:i",oxZ eh-,850-00,,,
7480,"12 feeh eksVk nksuksa rjQ ls ltkoVh iVyu okyk iwoZ iVfyr xzsM 1 Vkbi&IIikfVZdy cksMZ] ¼e/;e ?kuRo½ likV nck] rhu ijr okyk vkSj Hkk- ek- 12823 ¼,DlVhfj;j xzsM½ ds vuq:i",oxZ eh-,490-00,,,
7485,tkfjr uje bLikr ds dCts fudy dybZ ;qDr 50 fe- eh- ¼dqy pkSM+kbZ½,ehVj,40.00,,,
7486,tkfjr uje bLikr ds dCts fudy dybZ ;qDr 65 fe- eh- ¼dqy pkSM+kbZ½,ehVj,52.00,,,
7512,"ih-Vh-,e-Vh- ewaB 125x 34x 24 fe- eh-",izR;sd,20.00,,,
7513,"ih-Vh-,e-Vh- ewaB 150x 34x 24 fe- eh-",izR;sd,20.00,,,
7514,"ih-Vh-,e-Vh- ewaB 75x 60x 10 fe- eh-",izR;sd,29.00,,,
7515,"ih-Vh-,e-Vh- ewaB 100x 75x 10 fe- eh-",izR;sd,36.00,,,
7516,"ih-Vh-,e-Vh- pV[kuh 152x 42x 18 fe- eh-",izR;sd,35.00,,,
7517,"ih-Vh-,e-Vh- pV[kuh 202x 42x 18 fe- eh-",izR;sd,58.00,,,
mi ”kh’kZ %,"161 9-0 ydM+h ,oa ih oh lh dk dk;Z",,,,,
,,,01-04-2021,,,
,,d,ks ;k mlls Bhd igys,,,
7518,"ih-Vh-,e-Vh- Mksj dSpj 72x 42 fe- eh- eksVk",izR;sd,22.00,,,
7552,dWk;j vkLrj.k okyk cksMZ 4 fe- eh- eksVk,oxZ eh-,260.00,,,
7553,dWk;j vkLrj.k okyk cksMZ 6 fe- eh- eksVk,oxZ eh-,350.00,,,
7555,dWk;j vkLrj.k okyk cksMZ 12 fe- eh- eksVk,oxZ eh-,625.00,,,
7556,dWk;j vkLrj.k okyk cksMZ 18 fe- eh- eksVk,oxZ eh-,930.00,,,
8001,QSDVªh fufeZr 24 feeh eksVs fdokM+&ihohlh ckfgosZf/kr lsD”ku ds Ýse] osy vkSj iSuy lfgr lQsn] lysVh ;k ydM+h dh fQfu”k okys,oxZ eh-,1085.93,,,
8002,QSDVªh fufeZr 30 feeh eksVs fdokM+&ihohlh ckfgosZf/kr lsD”ku ds Ýse] osy vkSj iSuy lfgr lQsn] lysVh ;k ydM+h dh fQfu”k okys,oxZ eh-,1248.82,,,
8003,dkj[kkuk fufeZr ih-oh-lh n‘<+ Ýse fnYgsnkj njokts <qykbZ lfgr,oxZ eh-,1547.45,,,
8004,Hkk ek- 4020 ds vuq:i dkj[kkuk fufeZr ih-oh-lh n‘<+ Qkse fnYgsnkj njokts<qykbZ lfgr,oxZ eh-,1547.45,,,
8006,ih-oh-lh- n‘<+ Qkse pknj 1 fe-eh- eksVh,oxZ eh-,155.80,,,
8010,lQsn] lysVh ;k ydMh dh fQfu”k okys 48x 40x 15 fe-eh- eksVs dkj[kkuk fufeZr ih-oh-lh- cfgosf/kZr lsD”ku dh njoktk pkS[kV,ehVj,130.00,,,
8011,ih-oh-lh- cfgosf/kZr pknj ¼dSfjt½ ds dkj[kkuk fufeZr njoktk pkS[kV] <qykbZ lfgr,ehVj,260.00,,,
8014,"dkj[kuksa esa fufeZr 50×47 fe-eh- vkdkj dk ,dy ihl cfgosZf/kr izksQkby Qzse]5 fe-eh- eksVh nhokj ds lkFk",ehVj,298.74,,,
8016,"1 fe0 eh eksVh mPp /kUkRo ,DliSfUMM iksyhFkhyhu Qkse",oxZ eh0,10.00,,,
8017,1-6 feeh- eksVs tRrsnkj pknj vUrfufeZr ¼120 feuV½ Qk;j jsfVM njokts dh pkS[kV,ehVj,1200.00,,,
8018,1-6 feeh- eksVs tRrsnkj pknj vUrfufeZr ¼120 feuV½ Qk;j jsfVM njoktks dCtksa o osLVst lfgr ijUrq Xykl iVy cxSj,oxZ eh0,6000.00,,,
8100,100x 58x 1-90 fe-eh- ikmMj dksV~M uje bLikr ds lVs dCts,nl ux,130.00,,,
8101,Takxjks/kh bLikr ckWy cs;fjax dCtksa 100x89x3feeh,izR;sd,450.00,,,
8116,";wihohlh njokts ds fy, ftad vykW;`(`lQsn ikmMj dh irj okyk`)`3Mh dc~ts",izR;sd,455.00,,,
8117,"ftad ijr okys gSaMy Vªkalfe”ku fx;j flyasMj rFkk ;wihohlh dslesaV njokts ds fy, ,d pkch okys ikWobZV ftad IysVsM ekbZYM",izR;sd,2635.00,,,
8118,";wihohlh LykbfMax f[kMdh ds fy, Vªkzalfe”ku fx;j lfgr ykWfdax ftad vykW; ¼lQsn ikmMj dh ijrokyk`)`ikWobV ftad IysVsM gSaMy",izR;sd,1535.00,,,
8119,";wihohlh ds fy, LykbfMax njokts rFkk f[kMdh ds fy, Vªkzalfe”ku fx;j lfgr ykWfdax ftad vykW;`(`lQsn ikmMj dh ijrokyk`)`ikWobaV ftad IysVsM gSaMy",izR;sd,1265.00,,,
8121,"47x50 feeh vkdkj dh ;wihohlh ,DlVªwMsM`(`y?kq Js.kh`)`dslesaV f[kM+dh",ehVj,280.00,,,
8122,"47x68 feeh vkdkj dh ;wihohlh ,DlVªwMsM`(`y?kq Js.kh`)`dslesaV f[kMdh lsSl@eqfy;u",ehVj,311.00,,,
8125,"Yk?kq Js.kh dslesaV ds fy, mfpr ifjeki dh ;wihohlh Xysftax f[kMdh lSl chM",ehVj,100.00,,,
,,0 dks,1-04-2021 ;k mlls Bhd igys,,,
8218,Hkk ek % 12817 fpfg~ur taxjks/kh bLikr ds lVs dCts 50x 37x 1-5 fe-eh,nl ux,150.00,,,
8219,Hkk ek % 12817 fpfg~ur taxjks/kh bLikr ds lVs dCts ¼Hkkjh otu½ 125x64x 2-5 fe-eh,nl ux,375.00,,,
8220,Hkk ek % 12817 fpfg~ur taxjks/kh bLikr ds lVs dCts ¼Hkkjh otu½ 100x60x 2-5 fe-eh,nl ux,275.00,,,
8221,Hkk ek % 12817 fpfg~ur taxjks/kh bLikr ds lVs dCts ¼Hkkjh otu½ 75x50x 2-5 fe-eh,nl ux,230.00,,,
8222,Hkk ek % 1341 fpfg~ur uje bLikr ds Hkkjh otu okys lVs dCts 125x 90x 4-0 fe-eh,nl ux,230.00,,,
8223,Hkk ek % 1341 fpfg~ur uje bLikr ds Hkkjh otu okys lVs dCts 100x 75x 3-5 fe-eh,nl ux,180.00,,,
8224,Hkk ek % 1341 fpfg~ur uje bLikr ds Hkkjh otu okys lVs dCts,,,,,
,75x 60x 3-1 fe-eh,nl ux,110.00,,,
8225,Hkk ek % 1341 fpfg~ur uje bLikr ds Hkkjh otu okys lVs dCts 50x 40x 2-5 fe-eh,nl ux,90.00,,,
8227,LVsuysl LVhy QSalh gSaMy,10 ua,1000-00,,,
8228,l‚¶V DyksÇlx LVsuysl LVhy fgUt,10 lsV,1550-00,,,
8229,500 feeh yacsLVsuysl LVhy VsfyLdksfid njkt pSuy,lsV,535-00,,,
8230,LVsuysl LVhy ¼xzsM&304½ Vksdjh ¼rS;kj½,fdyksxzke,260-00,,,
8647,30x 4 fe-eh- taxjks/kh bLikr ds isap,lkS ux,35-84,,,
8678,1 feeh eksVs 35 feeh pkSMs+ taxjks/kh bLikr ds pednkj fi;kuksa dCts,ehVj,47.04,,,
8699,8 feeh eksVs “kqaMkdkj dksj okyk dsfYl;e flfydsV cksMZ,oxZ eh-,270.00,,,
8700,10 feeh eksVk dsfY”k;e flfydsV cksMZ,oxZ eh-,420.00,,,
8703,Vsyh Ldksfid MªkWj pSuy 300 fe- eh- yacs,lsV,240.00,,,
8704,"jSd@ vYekfj;ksa@ dSfcusV fdokMksa esa LykkbfMax O;oLFkk ds fy, taxjks/kh bLikr ds jksyj",izR;sd,11.00,,,
8705,lQsn] lysVh ;k ydMh dh fQfu”k okys ih-oh-lh- cfgosf/kZr lsD”ku ds QSDVjh fufeZr njokt <kaps 50x 42x 2 fe- eh- eksVs,ehVj,166.00,,,
8706,<qykbZ lfgr dkj[kkuk fufeZr ih-oh-lh- ds likV njoktk fdokM 25 fe- eh- eksVs,oxZ eh-,1700.00,,,
8707,<qykbZ lfgr dkj[kkuk fufeZr dkap izcfyr IykkfLVd njoktk pkS[kV 90x 45 fe-eh-,ehVj,480.00,,,
8708,<qykbZ lfgr dkj[kkuk fufeZr 30 feeh eksVs dkap rarq izcfyr IykfLVd iSuy njoktk fdokM,oxZ eh-,2326.00,,,
8709,"dkj[kuksa esa fufeZr 30 fe-eh- eksVs Bksl ih- oh- lh- izksQkby ds ,dy ihl esa cfgosZf/kr izksQkby ds ltkoVh fQfy”k okys fnYgsnkj njokts ¼nksuksa rjQ ydM+h okys Nis gq,½",oxZ eh-,2100.00,,,
8710,<qykbZ lfgr QSDVjh fufeZr dBksj ih-oh-lh- njoktk pkS[kV 62x 32 fe-eh-,ehVj,315.00,,,
8711,20 feeh dh Bksl ihohlh dh dkj[kkus esa fufeZr iSu Mksj “kVj <qykbZ lfgr,oxZ eh-,2050.00,,,
