Item No.,Description,Unit,Rate
7452,¼0-50 oxZ eh rd LySc {ks=Qy½ 18 feeh eksVk jktuxj lknk,,
,lQsn laxejej ¼Vsfcy&jc vkSj ikfy”k fd;k gqvk½,oxZ eh-,538-00
7453,¼0-50 oxZ eh ls vf/kd LySc {ks=Qy½ 18 feeh eksVk jktuxj lknk,,
,lQsn laxejej ¼Vsfcy&jc vkSj ikfy’k fd;k gqvk½,oxZ eh-,650-00
9977,<qykbZ,",deq”r",2-12
9999,fofo/k,",deq”r",2-12
,No.,,
8.1,"Marble mm for mm thi pointin with an to the b work gang saw cut (polished and machine cut) of thickness 18 wall lining (veneer work), backing filled with a grout of average 12 ck cement mortar 1:3 (1 cement : 3 coarse sand), including g with white cement mortar 1:2 (1 white cement : 2 marble dust) admixture of pigment to match the marble shade (To be secured acking by means of cramps, which shall be paid for separately).",,
8.1.1,Raj Nagar Plain white marble/ Udaipur green marble/ Zebra black marble.,,
8.1.1.1,Area of slab upto 0.50 sqm,sqm,4827.40
8.1.1.2,Area of slab over 0.50 sqm,sqm,4998.10
8.2,"Providi premou counte approv mortar mixed w mouldi at all le ng and fixing 18 mm thick gang saw cut, mirror polished, lded and prepolished, machine cut for kitchen platforms, vanity rs, window sills, facias and similar locations of required size, ed shade, colour and texture laid over 20 mm thick base cement 1:4 (1 cement : 4 coarse sand), joints treated with white cement, ith matching pigment, epoxy touch ups, including rubbing, curing, ng and polishing of edges to give high gloss finish etc. complete vels.",,
8.2.1,Raj Nagar Plain white marble/ Udaipur green marble/ Zebra black marble,,
8.2.1.1,Area of slab upto 0.50 sqm,sqm,2906.45
8.2.1.2,Area of slab over 0.50 sqm,sqm,2639.45
8.2.2,"Granite stone slab of colour black, Cherry/Ruby red",,
8.2.2.1,Area of slab upto 0.50 sqm,sqm,4679.35
8.2.2.2,Area of slab over 0.50 sqm,sqm,4425.35
8.2.3,"Granite stone slab of all colour and texture except black, Cher Ruby red",ry/,
8.2.3.1,Area of slab upto 0.50 sqm,sqm,3555.45
8.2.3.2,Area of slab over 0.50 sqm,sqm,3301.45
8.3,"Providin etc., in comple g edge moulding to 18 mm thick marble stone counters, Vanities cluding machine polishing to edge to give high gloss finish etc. te as per design approved by Engineer-in-Charge.",,
8.3.1,Marble work,metre,244.90
8.3.2,Granite work,metre,418.85
8.4,"Extra fo basic it r fixing marble /granite stone, over and above corresponding em, in facia and drops of width upto 150 mm with epoxy resin",,
,"based adhesive, including cleaning etc. complete.",metre,475.55
,No.,,
8.5,"Extra for providing kitchen sink in kitc marble/ Granite/ st etc. including moul complete. opening of required size & shape for wash basin/ hen platform, vanity counter and similar location in one work, including necessary holes for pillar taps ding, rubbing and polishing of cut edges etc.",each,808.15
8.6,Mirror polishing on required to give hig marble work/Granite work/stone work where ever h gloss finish complete.,sqm,417.60
8.7,"Providing and fixing masonry backing w including drilling ne the hole (fastener t cramps of required size & shape in RCC/ CC / Brick ith cement mortar 1:2 ( 1 cement :2 coarse sand), cessary hole in stones and embedding the cramp in o be paid separately).",,
8.7.1,Gunmetal cramps,kg,639.05
8.7.2,Stainless steel cramps,kg,624.95
8.8,Providing and fixin masonry surface b cost of bolt etc com g expansion hold fasteners on C.C. /R.C.C./Brick acking including drilling necessary holes and the plete.,,
8.8.1,Wedge ex pansion type,,
8.8.1.1,Fastener with threaded dia 6 mm,each,30.75
8.8.1.2,Fastener with threaded dia 10 mm,each,33.80
8.8.1.3,Fastener with threaded dia 12 mm,each,52.85
8.9,Stone tile (polished) mortar 1:3 (1 ceme including pointing i 8.9.1 8mm thick work for wall lining over 12 mm thick bed of cement nt : 3 coarse sand) and cement slurry @ 3.3 kg/sqm n white cement complete.,,
8.9.1.1,Raj nagar plain white marble/ Udaipur green marble/ Zebra black marble,sqm,2707.80
8.9.1.2,Granite of any colour and shade,sqm,3105.50
8.10,"Providing and fixing slab table rubbed, e by cutting a chase o the stone in the cha (1 cement : 2 coars size) as per directio 75 mm high, 50 mm deep and 18 mm thick stone dges rounded and polished, fixed in urinal partitions f appropriate width with chase cutter and embedding se with epoxy grout or with cement concrete 1:2:4 e sand : 4 graded stone aggregate 6 mm nominal n of Engineer-in-charge and finished smooth.",,
8.10.1,White Aga ria Marble Stone,sqm,3061.20
8.10.2,Granite St one of approved shade,sqm,3542.85
8.11,"Providing and fixin stone work for wall l steps etc., in requir slab pieces of differ 12 mm (average) t laid and jointed with g machine cut, mirror/ eggshell polished , Marble ining (veneer work) including dado, skirting, risers of ed design and pattern (if required with marble stone ent shapes, sizes & texture but of even thickness) on hick cement mortar 1:3 (1 cement : 3 coarse sand) white cement slurry @ 3.3 kg/sqm including pointing",,
8-1,"laxejej ds jax ls jax feykus ds fy, jatd feykdj 1%2 ¼1 lQsn lhesaV% 2 laxejej Nkul½ ds lQsn lhesaV elkys dh Vhi ds lkFk 1%3 ¼1 lhesaV % 3 eksVh jsr½ lhesaV elkys esa nhokj vkLrj.k ¼fxykQh dk;Z½ ds fy, 18 feeh eksVkbZ dh xSax vkjh dVkbZ ¼ikfy'k fd, gq, vkSj e'khu ls dVs½ dk laxejej dk;Z 8-1-1 jktuxj lknk lQsn laxejej@mn;iqj gjk laxejej@tscjk dkyk laxejej",,
,8-1-1-1 0-50 oxZ ehVj rd Lysc dk {ks=Qy,oxZ eh-,4827-40
,8-1-1-2 0-50 oxZ ehVj ls Åij Lysc dk {ks=Qy,oxZ eh-,4998-10
8-2,"lHkh Lrjksa ij iw.kZ vkSj mPp Lrj dh ifjlTtk iznku djus ds fy, fdukjksa dh f?klkbZ] rjkbZ] x<r vkSj ikfy'k djus lfgr tksM+ksa dks lQsn lhesaV] ls VªhV djus vkSj esy [kkrs jax dk jatd feykdj ,iksDlh }kjk vfUre :Ik nsus ds lkFk 1%4 ¼1 lhesaV% 4 eksVh jsr½ ds 20 feeh eksVkbZ ds lhesaV elkys ds lkFk vuqeksfnr jax] :Ik vkSj cukoV ds visf{kr vkdkj ds jlksbZ IysVQkeksZ izlk/ku iVyksa] f[kMdh nklksa] lEeq[kksa vkSj blh izdkj ds LFkkuksa ds fy, e'khu ls dVs pednkj :Ik ls ikfy'k fd, 18 feeh eksVs xSax vkjh ds dVs VqdMksa dh O;oLFkk djuk vkSj yxkuk",,
,8-2-1 jktuxj lknk lQsn laxejej@mn;iqj gjk laxejej@tscjk dkyk laxejej,,
,8-2-1-1 0-50 oxZ ehVj rd Lysc dk {ks=Qy,oxZ eh-,2906-45
,8-2-1-2 0-50 oxZ ehVj ls vf/kd Lyasc dk {ks=Qy,oxZ eh-,2639-45
,"8-2-2 fdlh Hkh jax ,oa :Ik dk xzsukbV",,
,8-2-2-1 0-50 oxZ ehVj rd Lysc dk {ks=Qy,oxZ eh-,4679-35
,8-2-2-2 0-50 oxZ ehVj ls vf/kd Lysc dk {ks=Qy,oxZ eh-,4425-35
,8-2-3 dkys] psjh@:ch yky jxksa dks NksM+dj lHkh jax vkSj cukoV ds xzsukbV iRFkj LySc,,
,8-2-3-1 0-50 oxZehVj rd LySc dk {ks=Qy,oxZ eh-,3555-45
,8-2-3-2 0-50 oxZehVj ls vf/kd LySc dk {ks=Qy,oxZ eh-,3301-45
8-3,"bathfu;j izHkkjh }kjk vuqeksfnr fd, x, vfHkdYi vuqlkj laiw.kZ vkSj mPp pednkj :Ik ls ifjlTtk vkfn ds fy, fdukjks dks e'khu ls ikfy'k djus lfgr 18 feeh eksVs laxejej iRFkj iVyksa] izlk/ku iVyksa vkfn ds fy, vfrfjDr fdukjh x<r dh O;oLFkk djukA",,
,8-3-1 laxejej dk;Z,ehVj,244-90
,8-3-2 xzsukbV dk;Z,ehVj,418-85
8-4,"lQkbZ vkfn lfgr laiw.kZ ,iksDlh jsftu vk/kkfjr vklatd ds lkFk 150 feeh rd ds lEeq[kksa vkSj ikrksa ls ln`'k ewy en ds vykok laxejej@xzsukbV iRFkj dks yxkus dh O;oLFkk djus ds fy, vfrfjDr Hkqxrku",ehVj,475-55
8-5,"dVs fdukjksa dh f?klkbZ vkSj ikfy'k djus vkfn lfgr laiw.kZ LraHk VksaVh vkfn ds fy, vko';d fNnz djus lfgr jlksbZ IysVQkeZ] izlk/ku iVy rFkk blh izdkj ds laxejej@ xzsukbV iRFkj dk;Z ds LFkkuksa esa ok”kcsfluksa@ jlksbZ flad ds fy, visf{kr vkdkj ,oa :Ik ds fooj@eq[k cukus ds fy, vfrfjDr Hkqxrku",izR;sd,808-15
8-6,"tgka dgh Hkh laiw.kZ :Ik ls mPp pednkj ifjlTtk iznku fd, tkuk visf{kr gS ogka ij laxejej dk;Z@ xzsukbV dk;Z @iRFkj dk;Z ij niZ.kh ikfy'k djkuk",oxZ eh-,417-60
8-7,"iRFkjksa esa vko';d fNnz djds vkSj dszEiksa dks fNnzksa esa fcBkus lfgr 1%2 ¼1 lhesaV % 2 eksVh jsr½ ds lhesaV elkys ds lkFk vkjlhlh@ lhlh i`""Bk/kkj esa visf{kr vkdkj ,oa cukoV ds dzsEiksa dh O;oLFkk djuk vkSj yxkuk ¼ca/kdks ds fy, vyx ls Hkqxrku fd;k tk,xk½",,
,8-7-1 xueSVy dzsEi ¼f'kdats½,fd-xzk-,639-05
,8-7-2 taxjks/kh bLikr dzsEi,fd-xzk-,624-95
8-8,"vko';d fNnz djus rFkk oksYV vkfn dh ykxr lfgr laiw.kZ lhlh@ vkjlhlh lrgh i`""Bk/kkj ij foLrkj.k& /kkjd ca/kdksa dh O;oLFkk djuk ,oa yxkuk",,
,8-8-1 ost foLrkj.k Js.kh,,
,8-8-1-1 6 feeh O;kl ds pwMhnkj ca/kd,izR;sd,30-75
,8-8-1-2 10 feeh O;kl ds pwMhnkj ca/kd,izR;sd,33-80
,8-8-1-3 12 feeh O;kl ds pwMhnkj ca/kd,izR;sd,52-85
8-9,"lQsn lhesaV ds lkFk Vhi djus lfgr 1%3 ¼1 lhesaV % 3 eksVh jsr½ vkSj 3-3 fdxzk@ oxZehVj lhesaV ?kksy ds lhesaV elkys ds lkFk 12 feeh lhesaV dh eksVh ijr ij nhokj vkLrj.k ds fy, iRFkj VkbZy ¼ikfy'k fd;k x;k½ dk dk;Z",,
,8-9-1 8 feeh eksVkbZ,,
,8-9-1-1 jktuxj lknk lQsn laxejej@ mn;iqj gjk laxejej@ tscjk dkyk laxejej,oxZ eh-,2707-80
,8-9-1-2 fdlh Hkh jax vkSj :Ik dk xzsukbV,oxZ eh-,3105-50
8-10,"bathfu;j izHkkjh ds funs'kkuqlkj vkSj lqpk: :Ik ls ifjlfTtr 1%2%4 ¼1 lhesaV% 2 eksVh jsr % 4 xszfMM iRFkj feykok tks 6 feeh ukfe; vkdkj dk gks½ ds lhesaV dadzhV ;k ,iksDlh xkmV ds lkFk vkSj pwMh dVj ls leqfpr pkSM+kbZ dh pwMh dkV dj 1- 8 lseh eksVkbZ rd izlk/ku foHkktuksa esa fQDl djds f?kls] xksy fd, x, fdukjs rFkk ikfy'k fd, gq, 75 x 50 lseh vkdkj ds f?klk Vsfoy iRFkj Lysc dh O;oLFkk djuk rFkk yxkukA",,
,8-10-1 lQsn vkxfj;k laxejej iRFkj,oxZ eh-,3061-20
,8-10-2 vuqeksfnr jax dk xzsukbV iRFkj,oxZ eh-,3542-85
8-11,vkfdZVSDV dh Mªkbax rFkk izHkkjh bathfu;j ds funZs”kkuqlkj iw.kZ jfcax] D;ksfjax] ikfyf”kax vkfn lfgr leku “ksM ds fixesUV ds lkFk fefJr lQsn lhesaV Lyjh ds lkFk IokbaV djus ds lfgr 3-3 fdxzk0 @ oxZeh- dh nj ls 1%3 (1 lhesaV & 3 eksVh jsr) ds vuqikr esa 12 feeh- (vkSlr) eksVh lhesaV elkyk fcNkus vkSj lQsn lhesaV Lyjh ds lkFk tksM+us ij tgka Hkh visf{kr gks] fofHkUu vkdj ds lrgh VsDlpj ds,,
,iRFkj dh visf{kr fMtkbZu vkSj iSVuZ eas MkMksa] LdfVZx LVSIl ds jkbtlZ lfgr oky,,
,8-14-4-4 40 feeh eksVkbZ,oxZ eh0,7096-90
,8-14-4-5 30 feeh eksVkbZ,oxZ eh0,6725-80
,8-14-5 xSaXk vkjh dVkbZ iRFkj,,
,8-14-5-1 30 feeh0 eksVk lQsn cyqvk iRFkj,oxZ eh0,2757-45
,8-14-5-2 30 feeh0 eksVk yky cyqvk iRFkj,oxZ eh0,2639-45
8-15,"iRFkj esa vko';d [kakps cukdj vkSj tgka vko';d gks nhokj esa fNnz djus lfgr 1%2 ¼1 lhesaV % 2 eksVh jsr½ lhesaV elkys esa i`""Bk/kkj esa fLFkj iRFkj nhokj vLrj ;k nhokj vkLrj.k esa fudVorhZ iRFkj cka/kus ds fy, visf{kr vkdkj ,oa :i ds taxjks/kh bLikr f'kdatksa ¼dzsai½ dh O;oLFkk djuk ,oa yxkuk",fd-xzk-,624-95
8-16,"vko';d [kakpsa cukus ds lkFk 1%2 ¼1 lhesaV % 2 eksVh jsr½ lheasV elkys esa nhokj vkLrj.k esa fudVorhZ iRFkjksa dks cka/ku ds fy, 6 feeh O;kl dh 7-5 lseh yEch rkacs dh dhyksa dh O;oLFkk djuk ,oa yxkuk",izR;sd,37-60
8-17,"bathfu;j izHkkjh ds funs’kkuqlkj iRFkj ds jax esa jax iw.kZr% feykus ds fy, jatd feykdj 1%2 ¼1 lQsn lhesaV% 2 iRFkj dh Nkul½ lhesaV elkys dh ykbunkj Vhi djus ds lkFk 1%3 ¼1 lhesaV% 3 eksVh jsr½ lhesaV elkys dh 12 feeh eksVh laLrj lfgr 75 feeh eksVh ifVV;ksa dh ijr dh O;oLFkk djds vkSj 75 x 75 feeh vkdkj ds vko’;d [kkaps cukus ds Ik’pkr fpukbZ ;k dadzhV esa izR;sd 10oh ijr vkSj lcls fupyh ijr dks varoZsf’kr djus ds lkFk de ls de 300 feeh yEckbZ vkSj visf{kr pkSM+kbZ dh iRFkjksa dh ifVV;ksa lfgr vuko‘r lrg ij [kqjnjs i‘“B ij 40 feeh eksVs ?kkSyiqj iRFkj ds lkFk 10 ehVj ÅpkabZ rd nhokj vkLrj.k dk cqp dk;Z",oxZ eh0,2607-45
8-18,"jxM+us vkSj ikfy’k djus lfgr 1%2 ¼1 lhesaV % 2 iRFkj dh Nkul½ lhesaV elkys ds lkFk tksMdj 1%3 ¼1 lhesaV % 3 eksVh jsr½ eksVs elkys ds lkFk 12 feeh xzkmV lfgr i‘“Bk/kkj dks Hkjdj 10 eh ÅpkabZ rd nhokj vkLrj.k vkfn ¼fxykQh dk;Z½ ds fy, iRFkj ds dke ¼e’khu ls dVs fdukjs½ ¼f’kdatksa dh lgk;rk ls i‘“Bk/kkj dks etcwr fd;k tk,xk ftuds fy, vyx ls Hkqxrku fd;k tk,xk½",,
,"8-18-1 lqlfTtr ,oa jxMs gq, vuko`r vxzHkkx okyh dksVk iRFkj Lysc 8-18-1-1 25 feeh eksVs",oxZ eh0,2212+-95
8-19,"Hkwry ls 10 eh ls vf/kd ÅpkabZ dh ckg; nhokjksa ds izR;sd vfrfjDr 3 eh ;k mlds fgLls dh ÅpkabZ ds fy, nhokj vkLrj.k gsrq iRFkj dk;Z ds fy, vfrfjDr Hkqxrku 'kq""d DysfMax esa iRFkj dk dk;Z",oxZ eh0,140-85
8-20,"bathfu;j izHkkjh ds funsZ”k vkSj okLrqdh; vkjs[kksa ds vuqlkj vuqeksfnr ekSleh lhysaVksa ds lkFk tksMksa dks lhy djds vkSj lajpukREkd LVhy QszeodZ ls vkSj@;k ØsEiksa dh lgk;rk ls tksM djds ,d leku jax vkSj 1 eh x 1 eh ds vkdkj rd ds 30 feeh eksVs xsax vkjh ls dVs iRFkj ¼e”khu ls dVs fdukjs½ lfgr 10 eh ÅpkabZ rd 'kq""d DysfMax dh O;oLFkk djuk vkSj yxkuk ¼LVhy QzseodZ] taxjks/kh bLikr dzsEiksa] fiuksa vkfn ds fy, vyx ls Hkqxrku fd;k tk,xk½",,
,8-20-1 yky cyqvk iRFkj,oxZ eh0,2459-70
,8-20-2 lQsn cyqvk iRFkj,oxZ eh0,2577-70
8-21,"dVkbZ] cadu] csfYMax vkfn dh ykxr lfgr okLrqdh; vkjs[k ds vuqlkj nhokj ij lHkh ÅpkabZ;ksa ij visf{kr rjhds ls ,e,l oxkZdkj@vk;rkdkj V;wcksa dk iz;ksx djds lajpukRed LVhy QszeodZ ¼e”khu ls dVs fdukjs okys ckyq iRFkj lfgr 30 feeh eksVs xsax vkjh ls dVs iRFkj ds lkFk “kq’d DysfMax dk;Z ds fy,½ dh O;oLFkk djuk vkSj yxkukA ,e ,l cszfdVks@dks.kh; yksgs@QysVksa vkfn dh idM dh lgk;rk ls nhokj esa QszeodZ dks Vsd iznku dh tk,xh ftls Qsze ds lkFk osYM fd;k tk,xk vkSj 300x230x300 fe-eh- vkdkj ds 1%2%4 ¼1 lhesaV % 2 eksVh jsr% 20 feeh ukfe; vkdkj dk 4 xzsfMM iRFkj feykok½ ds lhesaV dadzhV Cykd ds lkFk bZV nhokj esa varosf’kZr fd;k tk,xk ftlesa vko’;d fNnzksa dh fM~zy djus lfgr lhlh@vkj lh lh i`’B ij vuqeksfnr foLrkj.k /kkjd dhydksa ds lkFk visf{kr <wyk vkSj lVfjax dh ykxr Hkh “kfey gksxh A iRFkj DysfMax dks Vsd iznku djus ds fy, QszeodZ esa vuqeksfnr dzsEiksa@ fiuksa dks osYM fd;k tk,xk rFkk bathfu;j izHkkjh }kjk fn, x, vuqeksnukuqlkj LVhy dk;Z esa ftad izkbZej ds lkFk jatd foysiu fd;k tk,xk vkSj bleas biksDlh isaV ds lkFk nks ;k vf/kd foysiuksa ds lkFk isaV fd;k tk,xk ¼Bsdsnkj }kjk fu’iknu ls igys vuqeksnu ds fy, bathfu;j izHkkjh dks “kkWi&uD”ks izLrqr fd, tka,xs½ QszeodZ dks lgh {kSfrt vkSj m/okZ/kj fn”kkvksa@Lrjksa esa fQDl fd;k tk,xkA ¼Hkqxrku ds iz;kstu gsrq dsoy lajpukRed LVhy QszeodZ dh uikbZ dh tk,xh taxjks/kh bLikr dszEiksa ds fy, vyx ls Hkqxrku fd;k tk,xk vkSj vfrfjDr dqN Hkh Hkqxrku ugh fd;k tk,xk½",fdxzk0,220-00
8-22,"bathfu;j izHkkjh ds funs’kkuqlkj iRFkj Lyso esa vko”;d rkd cukdj] visf{kr fNnzksa ds fy, fMªfyax djus vkfn lfgr iw.kZ:Ik ls mi;qDr LFkku ij QszeodZ esa fQDl dh xbZ “kq’d DysfMax ds fy, taxjks/kh bLikr ds uV&cksYVksa vkSj ok”kj ¼de ls de 260 xzke dqy Hkkj gksuk pkfg,½ lafgr visf{kr vkdkj vkSj :Ik rFkk vuqeksfnr xq.koRrk ds lek;ksftr gksus okys taxjks/kh bLikr ØsEiksa dh O;oLFkk djuk vkSj yxkukA",izR;sd,365-65
8-23,nwljh Js.kh dh lkxkSu dh ydM+h ds 50x 50x 50 feeh xV~Vksa dh O;oLFkk djuk vkSj bZV&fpukbZ dkVdj mlesa 1%3 ¼1 lhesaV % 3 eghu jsr½ ds lhesaV&elkys ls,,
,mUgsa yxkuk] nhokjksa dks Bhd djus vkfn lfgr,izR;sd,35-50
8-24,fufnZ’V vkdkj ds foLrkj.kh; ca/kksa dh vko”;d IykfLVd Lyhoksa vkSj tLrh uje bLikr ispksa lfgr O;oLFkk djuk rFkk fpukbZ dk;Z@lhesaV daØhV@izcfyr lhesaV daØhV esa Nsn djus lfgr bUgsa yxkuk vkSj Bhd djus vkfn lfgr ] lEiw.kZ,,
,8-24-1 25 feeh yacs,izR;sd,19-30
,8-24-2 32 feeh yacs,izR;sd,20-75
,8-24-3 40 feeh yacs,izR;sd,24-75
,8-24-4 50 feeh yacs,izR;sd,26-10
8-25,nwljh Js.kh dh lkxkSu dh ydM+h ds f>jh&thHkh tksM+ okys lkns vkLrj.k dh O;oLFkk djuk vkSj ydM+h ds xV~Vksa rFkk vko”;d ispksa lfgr xV~Vksa ij mls yxkuk] vko‘Ÿk lrg ij jax&vLrj lfgr] laiw.kZ,,
,8-25-1 40 feeh eksVs,oxZ eh-,6187.90
,8-25-2 25 feeh eksVs,oxZ eh-,4106.45
,8-25-3 20 feeh eksVs,oxZ eh-,3330.20
,8-25-4 12 feeh eksVs,oxZ eh-,2220.05
8-26,"Hkk-ek- % 12823 fpfgur nhokj vkLrj.k esa likV nck frirhZ ¼e/;e /kuRo½ ikfVZdy cksMZ vFkok vuqikfrr ydM+h iwoZiVfyr miyC/k djkuk ,oa yxkuk tks ,d vksj ls ltkoVh iVyu] nwljh rjQ ls larqfyr iVyu xzsM& 1 Vkbi 2 dk gks vkSj vko‘r lrg ij jax vLrj yxkus dh vko”;d O;oLFkk rFkk ispksa lfgr laiw.kZ",,
,8-26-1 12 feeh eksVs,oxZ eh-,1216.35
,8-26-2 18 feeh eksVs,oxZ eh-,1304.65
,8-26-3 25 feeh eksVs,oxZ eh-,1731.45
8-27,"50x 25 fe-eh- ds cRrksa okyh fofufnZ’V ydM+h dh pkS[kVksa dh O;oLFkk djuk rFkk mUgsa jkWy Iyx ls yxkuk vkSj jkWy Iyx ds fy, vko”;d fNnz vkfn djuk ,oa jax vLrj lfgr] liw.kZ",,
,"8-27-1 HkV~Vh la”kksf/kr ,oa jlk;fud mipkfjr gkWyksd ydM+h",?ku eh-,163814.10
